15-163701,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59779223.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
YA5 エクシーガ 2.0 ターボボディ型式 ： DBA-YA5エンジン型式 ： EJ20年式 ： H22.08～ YA9 エクシーガ 2.5 NAボディ型式 ： DBA-YA9エンジン型式 ： EJ25年式 ： H21.12～H24.07 YA4 エクシーガ 2.0 NA 2WDボディ型式 ： DBA-YA4エンジン型式 ： EJ20年式 ： H20.06～H24.07 YAM エクシーガ 2.5 NA 4WDボディ型式 ： DBA-YAMエンジン型式 ： FB25年式 ： H24.07～ 
<BR><BR>
特記事項

リヤバンパースカート（スタンダード）「E5617YC000##」装着車共通",FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD[rn]
15-163782,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58464348.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種

BR9 レガシィ ツーリングワゴン 2.5 GTボディ型式 ： DBA-BR9エンジン型式 ： EJ25年式 ： H21.05～ BRG レガシィ ツーリングワゴン 2.0 GT DITボディ型式 ： DBA-BRGエンジン型式 ： FA20年式 ： H24.05～ 


特記事項

AT/MT(BR9)、CVT(BRG) 共通",FGK（フジツボ）オーソライズＳマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT[rn]
15-163783,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60410410.jpg?fitin=700:700,124880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーPE52 エルグランド ハイウェイスター 3.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
PE52 エルグランド ハイウェイスター 3.5 2WDボディ型式 ： DBA-PE52エンジン型式 ： VQ35DE年式 ： H22.08～ <BR><BR>
特記事項

<BR>7人乗り・8人乗り共通 
350ハイウェイスター・プレミアム共通 
エルグランドVIP共通（特注車は除く） 
Wテール左右出し",FGK（フジツボ）オーソライズＳマフラーPE52 エルグランド ハイウェイスター 3.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーPE52 エルグランド ハイウェイスター 3.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーPE52 エルグランド ハイウェイスター 3.5 2WD[rn]
15-163784,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58638606.jpg?fitin=700:700,35280.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーCREW プレマシー 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"CREW プレマシー 2.0 2WDボディ型式 ： DBA-CREWエンジン型式 ： LF-DE・LF-VD年式 ： H17.02～H22.06
<BR><BR>

<BR>特記事項

<BR>
「20S」にて開発
<BR>
備考",FGK（フジツボ）オーソライズＳマフラーCREW プレマシー 2.0 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーCREW プレマシー 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーCREW プレマシー 2.0 2WD[rn]
15-163785,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061973346.jpg?fitin=700:700,48720.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＫマフラーJH1 N-WGN カスタムターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>

JG1 N-ONE ターボ 2WD
    ボディ型式 ： DBA-JG1
    エンジン型式 ： S07A
    年式 ： H24.11～ 

JH1 N-WGN カスタムターボ 2WD
    ボディ型式 ： DBA-JH1
    エンジン型式 ： S07A
    年式 ： H25.11～ 



<BR><BR>
特記事項 JG1 プレミアムツアラー2WD 共通。
当社製マフラーはセンター出しです。
JH1 カスタム専用。",FGK（フジツボ）オーソライズＫマフラーJH1 N-WGN カスタムターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＫマフラーJH1 N-WGN カスタムターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＫマフラーJH1 N-WGN カスタムターボ 2WD[rn]
15-163786,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58462887.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーBR9 レガシィ ツーリングワゴン 2.5 GT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
BR9 レガシィ ツーリングワゴン 2.5 GT
ボディ型式 ： DBA-BR9
エンジン型式 ： EJ25
年式 ： H21.05～ 
適合車両 
BRG レガシィ ツーリングワゴン 2.0 GT DIT
ボディ型式 ： DBA-BRG
エンジン型式 ： FA20
年式 ： H24.05～ 
出口形状   
117φラウンドスラッシュ（II・R.L） 
備考  
AT/MT(BRG)、CVT(BRG)共通",FGK（フジツボ）オーソライズＲマフラーBR9 レガシィ ツーリングワゴン 2.5 GT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーBR9 レガシィ ツーリングワゴン 2.5 GT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーBR9 レガシィ ツーリングワゴン 2.5 GT[rn]
15-163787,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58717664.jpg?fitin=700:700,36400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーDE5FS デミオ 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>

DE5FS デミオ 1.5 2WDボディ型式 ： DBA-DE5FSエンジン型式 ： ZY-VE年式 ： H19.07～ <BR><BR>DE3FS デミオ 1.3 2WDボディ型式 ： DBA-DE3FSエンジン型式 ： ZJ-VE,ZJ-VEM年式 ： H19.07～ 
<BR><BR>

特記事項

<BR><BR>DE5FS(1.5)CVT車・5MT車 共通 
<BR><BR>DE3FS(1.3)CVT車・AT車 共通



<BR><BR>
備考
<BR><BR>
 詳細データはDE5FS(1.5)のもの",FGK（フジツボ）オーソライズＲマフラーDE5FS デミオ 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーDE5FS デミオ 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーDE5FS デミオ 1.5 2WD[rn]
15-163788,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59542675.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーHA25S アルト セダン NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"HA25S アルト セダン NA 2WDボディ型式 ： DBA-HA25Sエンジン型式 ： K6A年式 ： H21.12～ MH23S ワゴンR NA FXリミテッド 2WDボディ型式 ： DBA-MH23Sエンジン型式 ： K6A年式 ： H20.09～ 

<BR>

特記事項

FXリミテッド専用",FGK（フジツボ）オーソライズKマフラーHA25S アルト セダン NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーHA25S アルト セダン NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーHA25S アルト セダン NA 2WD[rn]
15-163789,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58684585.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーBM9 レガシィ B4 2.5GT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
BM9 レガシィ B4 2.5GTボディ型式 ： DBA-BM9エンジン型式 ： EJ25年式 ： H21.05～ 

<BR><BR>
特記事項

<BR>",FGK（フジツボ）オーソライズＳマフラーBM9 レガシィ B4 2.5GT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーBM9 レガシィ B4 2.5GT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーBM9 レガシィ B4 2.5GT[rn]
15-163790,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58735116.jpg?fitin=700:700,88480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーGVF WRX STI 4door A-Line,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
GVF WRX STI 4door A-Lineボディ型式 ： CBA-GVFエンジン型式 ： EJ25年式 ： H22.07～ <BR><BR>
 GVB WRX STI 4doorボディ型式 ： CBA-GVBエンジン型式 ： EJ20年式 ： H22.07～ <BR><BR>

特記事項

<BR>
詳細データはGVFのもの
<BR>
備考
<BR><BR>",FGK（フジツボ）オーソライズＲマフラーGVF WRX STI 4door A-Line：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーGVF WRX STI 4door A-Line,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーGVF WRX STI 4door A-Line[rn]
15-163791,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0062315288.jpg?fitin=700:700,89040.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＶマフラーZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"ZN6 86 2.0
    ボディ型式 ： DBA-ZN6
    エンジン型式 ： FA20
    年式 ： H24.04～ 

ZC6 BRZ 2.0
    ボディ型式 ： DBA-ZC6
    エンジン型式 ： FA20
    年式 ： H24.03～ 

特記事項 AT/MT 共通
BRZ tS(AT/MT)共通
左右シングル出し
バルブ全閉時は右側のみの排気となります",FGK（フジツボ）オーソライズＶマフラーZN6 86 2.0：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＶマフラーZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＶマフラーZN6 86 2.0[rn]
15-163792,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58469784.jpg?fitin=700:700,36120.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーATH20W アルファード ハイブリッド G/X,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
ATH20W アルファード ハイブリッド G/Xボディ型式 ： DAA-ATH20Wエンジン型式 ： 2AZ-FXE年式 ： H23.11～ ATH20W ヴェルファイア ハイブリッド V/Xボディ型式 ： DAA-ATH20Wエンジン型式 ： 2AZ-FXE年式 ： H23.11～",FGK（フジツボ）オーソライズＳマフラーATH20W アルファード ハイブリッド G/X：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーATH20W アルファード ハイブリッド G/X,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーATH20W アルファード ハイブリッド G/X[rn]
15-163793,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58684738.jpg?fitin=700:700,35280.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーBR9 レガシィ ツーリングワゴン 2.5 NA,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
BR9 レガシィ ツーリングワゴン 2.5 NAボディ型式 ： DBA-BR9エンジン型式 ： EJ25年式 ： H21.05～ <BR><BR>
特記事項

<BR>

規定の回転数に達しない為、近接排気騒音は4000rpmにて測定",FGK（フジツボ）オーソライズＳマフラーBR9 レガシィ ツーリングワゴン 2.5 NA：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーBR9 レガシィ ツーリングワゴン 2.5 NA,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーBR9 レガシィ ツーリングワゴン 2.5 NA[rn]
15-163794,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59476776.jpg?fitin=700:700,26880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL385S タント カスタム ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L385S タント カスタム ターボ 4WDボディ型式 ： CBA-L385Sエンジン型式 ： KF年式 ： H19.12～H24.05 

特記事項
カスタム RS 4WD 専用",FGK（フジツボ）オーソライズKマフラーL385S タント カスタム ターボ 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL385S タント カスタム ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL385S タント カスタム ターボ 4WD[rn]
15-163795,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59781926.jpg?fitin=700:700,44800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGJ2FW アテンザ ワゴン 2.2 DT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
GJ2FW アテンザ ワゴン 2.2 DTボディ型式 ： LDA-GJ2FWエンジン型式 ： SH-VPTR年式 ： H24.11～ <BR><BR>
特記事項
AT車専用 
ディーラーオプション ケンスタイル リヤスカート「GK10 MZ 980 **」装着車共通。",FGK（フジツボ）オーソライズＳマフラーGJ2FW アテンザ ワゴン 2.2 DT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGJ2FW アテンザ ワゴン 2.2 DT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGJ2FW アテンザ ワゴン 2.2 DT[rn]
15-163796,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061973664.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーVMG レヴォーグ 2.0 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"VM4 レヴォーグ 1.6 ターボ
    ボディ型式 ： DBA-VM4
    エンジン型式 ： FB16
    年式 ： H26.06～ 

VMG レヴォーグ 2.0 ターボ
    ボディ型式 ： DBA-VMG
    エンジン型式 ： FA20
    年式 ： H26.06～ 
備考  
備考 規定の回転数に達しない為、近接排気騒音は4000rpmにて測定。
詳細データはVMGのもの。",FGK（フジツボ）オーソライズＲマフラーVMG レヴォーグ 2.0 ターボ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーVMG レヴォーグ 2.0 ターボ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーVMG レヴォーグ 2.0 ターボ[rn]
15-163797,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58475243.jpg?fitin=700:700,53760.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーCV2W デリカ D:5 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
CV5W デリカ D:5 2.4 2WD・4WDボディ型式 ： DBA-CV5Wエンジン型式 ： 4B12年式 ： H19.01～ CV5W デリカ D:5 ローデスト 2.4 2WD・4WDボディ型式 ： DBA-CV5Wエンジン型式 ： 4B12年式 ： H19.05～ CV4W デリカ D:5 2.0 2WDボディ型式 ： DBA-CV4Wエンジン型式 ： 4B11年式 ： H19.05～ CV4W デリカ D:5 ローデスト 2.0 2WDボディ型式 ： DBA-CV4Wエンジン型式 ： 4B11年式 ： H19.05～ CV2W デリカ D:5 2.0 2WDボディ型式 ： DBA-CV2Wエンジン型式 ： 4J11年式 ： H23.12～",FGK（フジツボ）オーソライズＳマフラーCV2W デリカ D:5 2.0 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーCV2W デリカ D:5 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーCV2W デリカ D:5 2.0 2WD[rn]
15-163798,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58635079.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーNCP91 ヴィッツ RS 1.5 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"NCP91 ヴィッツ RS 1.5 2WD
ボディ型式 ： DBA-NCP91
エンジン型式 ： 1NZ-FE
年式 ： H17.02～H20.09 
<BR><BR>
NCP91 ヴィッツ RS 1.5 2WD マイナー後
ボディ型式 ： DBA-NCP91
エンジン型式 ： 1NZ-FE
年式 ： H20.09～ 
<BR>特記事項

<BR>CVT車・MT車共通
<BR><BR>
詳細データは、NCP91 ヴィッツ RS 1.5 2WD のもの",FGK（フジツボ）オーソライズＳマフラーNCP91 ヴィッツ RS 1.5 2WD マイナー後：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーNCP91 ヴィッツ RS 1.5 2WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーNCP91 ヴィッツ RS 1.5 2WD マイナー後[rn]
15-163799,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58475170.jpg?fitin=700:700,72016.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲタイプSマフラーZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>
ZN6 86 2.0ボディ型式 ： DBA-ZN6エンジン型式 ： FA20年式 ： H24.04～
<BR>
ZC6 BRZ 2.0ボディ型式 ： DBA-ZC6エンジン型式 ： FA20年式 ： H24.03～ 
<BR>
特記事項

<BR>AT/MT 共通 
86/BRZ 共通",FGK（フジツボ）オーソライズＲタイプSマフラーZN6 86 2.0：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲタイプSマフラーZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲタイプSマフラーZN6 86 2.0[rn]
15-163800,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58638027.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーNCP81G シエンタ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"NCP81G シエンタ 2WDボディ型式 ： UA,CBA,DBA-NCP81Gエンジン型式 ： 1NZ-FE年式 ： H15.09～  
<BR><BR>

<BR>特記事項

<BR>

標準バンパー車、純正リヤバンパースポイラー(ライトスポーツバージョン)装着車共通 
マイナー後（H18.5&#12316;）標準バンパー車共通

<BR>
備考

DICE 2WD 共通",FGK（フジツボ）オーソライズＳマフラーNCP81G シエンタ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーNCP81G シエンタ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーNCP81G シエンタ 2WD[rn]
