9-12303,,3880.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1,(2869195),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●追加用レターケース（TOA4-S1・W1）を使うことで、1段ずつの増設が可能です。<br>●各段の付け外しができますので、段数の増減が可能です。<br>●A4サイズの用紙がぴったり納まるので、書類の整理に最適です。<br>●別売の仕切り（TA4-S40・L40、TA4-S80・L80）を使用して、小物の整理もできます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1,(2869195)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　レターケース　引き出しＡ４浅型５個、Ａ４深型１個【TOA4-S5W1】(2869195) 受注単位1[rn]
9-12385,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003914861.jpg?fitin=700:700,354.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ１４　全長　１７０ミリ【SBM-14170 (14X170MM)】(3989178) 受注単位1,生産加工用品\ツーリング・治工具\調整治具,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●両端にねじが切ってあります。<br>●締付け側のねじが疲労した時はＴナット側で使用できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ１４　全長　１７０ミリ【SBM-14170 (14X170MM)】(3989178) 受注単位1：クローバー資材館,『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ１４　全長　１７０ミリ【SBM-14170 (14X170MM)】(3989178) 受注単位1,生産加工用品\ツーリング・治工具\調整治具。『カード対応OK！』■〒ニューストロング　スタットボルト　ネジ　Ｍ１４　全長　１７０ミリ【SBM-14170 (14X170MM)】(3989178) 受注単位1[rn]
9-12386,,2540.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハーフェレジャパン/ＦＥＳＴＯＯＬ【492271】(7601905) 中間パッド　ＬＥＸ１２５／ＥＳ１２５用 受注単位1,作業用品\電動工具・油圧工具\用途別研磨機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
●マジック式です。<br>
<br>
●コーナー・湾曲部サンディング用。<br>
<br>
●パッド寸法(mm):120<br>
●サイズ(mm):120<br>
●厚さ(mm):15<br>
●タイプ:マジック式<br>
●適合機種:571785<br>
<br>
<br>
●基材：スポンジ<br>
<br>
<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ハーフェレジャパン/ＦＥＳＴＯＯＬ【492271】(7601905) 中間パッド　ＬＥＸ１２５／ＥＳ１２５用 受注単位1：クローバー資材館,『カード対応OK！』■〒ハーフェレジャパン/ＦＥＳＴＯＯＬ【492271】(7601905) 中間パッド　ＬＥＸ１２５／ＥＳ１２５用 受注単位1,作業用品\電動工具・油圧工具\用途別研磨機。『カード対応OK！』■〒ハーフェレジャパン/ＦＥＳＴＯＯＬ【492271】(7601905) 中間パッド　ＬＥＸ１２５／ＥＳ１２５用 受注単位1[rn]
9-12387,,580.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アズマ工業/ａｚｕｍａ【726165000】(7626053) らくるん強粘着テープめくるんライン付３本入 受注単位1,オフィス住設用品\清掃用品\粘着ローラークリーナー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
●くるんとめくれるうずまきカット製法です。<br>
●「破らず」に「めくる」テープです。<br>
●めくる位置が分かりやすい、やまぶき色のめくるんライン入りです。<br>
●各社共通サイズです。<br>
<br>
●掃除機では取りにくい、カーペットに絡み付いたホコリや髪の毛取りに。<br>
<br>
●テープサイズ:160mm幅×90周<br>
<br>
<br>
●テープ:粘着加工紙<br>
<br>
<br>
●製品の特性上、テープをはがす際、吸着した汚れが一部残ります。<br>
●毛足の長いジュータンや繊維の抜けやすいカーペットへの使用はお避け下さい。<br>
●畳・木床・クッションフロアなど平滑な面はテープが接着することがあるので使用をお避け下さい。<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒アズマ工業/ａｚｕｍａ【726165000】(7626053) らくるん強粘着テープめくるんライン付３本入 受注単位1：クローバー資材館,『カード対応OK！』■〒アズマ工業/ａｚｕｍａ【726165000】(7626053) らくるん強粘着テープめくるんライン付３本入 受注単位1,オフィス住設用品\清掃用品\粘着ローラークリーナー。『カード対応OK！』■〒アズマ工業/ａｚｕｍａ【726165000】(7626053) らくるん強粘着テープめくるんライン付３本入 受注単位1[rn]
9-12388,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003781494.jpg?fitin=700:700,8942.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トーニチ/東日製作所　ＱＨ型ラチェットヘッド【QH19D】(2152479) 受注単位1,生産加工用品\計測機器\トルク機器,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●QH型ラチェットヘッドは狭い場所で、締め付け振幅が小さく楽な作業ができます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トーニチ/東日製作所　ＱＨ型ラチェットヘッド【QH19D】(2152479) 受注単位1：クローバー資材館,『カード対応OK！』■〒トーニチ/東日製作所　ＱＨ型ラチェットヘッド【QH19D】(2152479) 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』■〒トーニチ/東日製作所　ＱＨ型ラチェットヘッド【QH19D】(2152479) 受注単位1[rn]
9-12389,http://tshop.r10s.jp/clover9608/cabinet/nobe-8/t010002850066.jpg?fitin=700:700,7148.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒3M/住友スリーエム　ラジアル・ブリッスルディスク　ＰＵＭ　３／４”Ｘ１／１６”　【BR DISC PUM 3/4】(3111032) 48枚,作業用品\研削研磨用品\軸付ブラシ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●狭い箇所のバリ取りに最適です。<br>●細かい砥粒（PUM、6M、1M）で仕上げも研磨も可能です。<br>●外径19.1mmタイプです。<br>●微小バリ取り作業全般。<br>●金型のクリーニング。<br>●宝飾品の仕上げ。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒3M/住友スリーエム　ラジアル・ブリッスルディスク　ＰＵＭ　３／４&rdquo;Ｘ１／１６&rdquo;　【BR DISC PUM 3/4】(3111032) 48枚：クローバー資材館,『カード対応OK！』■〒3M/住友スリーエム　ラジアル・ブリッスルディスク　ＰＵＭ　３／４&rdquo;Ｘ１／１６&rdquo;　【BR DISC PUM 3/4】(3111032) 48枚,作業用品\研削研磨用品\軸付ブラシ。『カード対応OK！』■〒3M/住友スリーエム　ラジアル・ブリッスルディスク　ＰＵＭ　３／４&rdquo;Ｘ１／１６&rdquo;　【BR DISC PUM 3/4】(3111032) 48枚[rn]
9-12390,,1784.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マルト長谷川工作所/ＫＥＩＢＡ【KM-037H】(7608225) ケイバ・ミニ　ハードハンドル　リードキャッチャー付　１２５ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパステンレス刃,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
●ステンレス製で軽さと剛性を両立しています。<br>
●心地よい切れ味です。<br>
<br>
●軟細線材等を切る用途に。<br>
<br>
●全長(mm):128<br>
●切断能力(mm)軟鉄線:φ0.9<br>
●切断能力(mm)軟銅線:φ1.2<br>
●質量(g):52<br>
<br>
●ばね付<br>
●フラッシュ刃<br>
●リードキャッチャー（飛散防止機能）付<br>
●ハード・ハンドル<br>
<br>
●SUS420J2<br>
<br>
<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒マルト長谷川工作所/ＫＥＩＢＡ【KM-037H】(7608225) ケイバ・ミニ　ハードハンドル　リードキャッチャー付　１２５ 受注単位1：クローバー資材館,『カード対応OK！』■〒マルト長谷川工作所/ＫＥＩＢＡ【KM-037H】(7608225) ケイバ・ミニ　ハードハンドル　リードキャッチャー付　１２５ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパステンレス刃。『カード対応OK！』■〒マルト長谷川工作所/ＫＥＩＢＡ【KM-037H】(7608225) ケイバ・ミニ　ハードハンドル　リードキャッチャー付　１２５ 受注単位1[rn]
9-12391,,2363.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒玉鳥産業【7353】(7691785) ＬＧ２７－Ａ生木 受注単位1,オフィス住設用品\緑化用品\鋸,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
●生木専用タイプです。生木全般（枝木・樹木・果樹）に使用できます。特に太枝切りに最適です。<br>
<br>
●生木剪定用<br>
<br>
●刃長(mm):270<br>
●全長(mm):440<br>
●切断能力(mm):270<br>
●刃ピッチ(mm):2.7～3.7<br>
●質量(g):440<br>
●替刃:R735<br>
●刃幅(mm):35<br>
<br>
●衝撃焼入れ<br>
●無電解ニッケルメッキ<br>
●アサリあり<br>
<br>
●刃：SK材<br>
●柄：ポリプロピレン・エラストマ樹脂<br>
<br>
<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒玉鳥産業【7353】(7691785) ＬＧ２７&minus;Ａ生木 受注単位1：クローバー資材館,『カード対応OK！』■〒玉鳥産業【7353】(7691785) ＬＧ２７&minus;Ａ生木 受注単位1,オフィス住設用品\緑化用品\鋸。『カード対応OK！』■〒玉鳥産業【7353】(7691785) ＬＧ２７&minus;Ａ生木 受注単位1[rn]
9-12392,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004382030.jpg?fitin=700:700,6480.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マグナ　ネオジ磁石プレートキャッチ【1NC35R】(3325229) 受注単位1,生産加工用品\マグネット用品\マグネット素材,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●磁石の中で最強の磁場をもちます。<br>●RoHS対応品です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒マグナ　ネオジ磁石プレートキャッチ【1NC35R】(3325229) 受注単位1：クローバー資材館,『カード対応OK！』■〒マグナ　ネオジ磁石プレートキャッチ【1NC35R】(3325229) 受注単位1,生産加工用品\マグネット用品\マグネット素材。『カード対応OK！』■〒マグナ　ネオジ磁石プレートキャッチ【1NC35R】(3325229) 受注単位1[rn]
9-12393,,5908.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒国盛化学/ＫＵＮＩＭＯＲＩ【78302-NS50L-LB】(7605676) プラダン　ＮＳコンテナ　５０Ｌ（ＳＷコーナー）ライトブルー 受注単位1,物流保管用品\コンテナ・パレット\折りたたみコンテナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>
●オールPP樹脂製で容易にリサイクルが可能です。<br>
●すき間のないスタッキングでホコリの侵入を防止します。<br>
●シンプルながら高い耐久性があり丈夫で軽量です。<br>
<br>
●社内およびお客様との通函用や保管箱として。<br>
<br>
●容量(L):50<br>
●色:ライトブルー<br>
●外形寸法(mm)間口×奥行×高さ:530×366×325<br>
●有効内寸(mm)間口×奥行×高さ:489×335×320<br>
<br>
●取手付（穴あき）<br>
●コーナーリブ有り（高さ15mm）<br>
●カード差し（別売）<br>
<br>
●ポリプロピレン（PP)<br>
<br>
<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒国盛化学/ＫＵＮＩＭＯＲＩ【78302-NS50L-LB】(7605676) プラダン　ＮＳコンテナ　５０Ｌ（ＳＷコーナー）ライトブルー 受注単位1：クローバー資材館,『カード対応OK！』■〒国盛化学/ＫＵＮＩＭＯＲＩ【78302-NS50L-LB】(7605676) プラダン　ＮＳコンテナ　５０Ｌ（ＳＷコーナー）ライトブルー 受注単位1,物流保管用品\コンテナ・パレット\折りたたみコンテナ。『カード対応OK！』■〒国盛化学/ＫＵＮＩＭＯＲＩ【78302-NS50L-LB】(7605676) プラダン　ＮＳコンテナ　５０Ｌ（ＳＷコーナー）ライトブルー 受注単位1[rn]
9-12394,,33966.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミツトヨ　インサイドデジマチックノギス【NTD14P15PMX (573-646)】(3255000) 受注単位1,生産加工用品\測定工具\ノギス,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●測定内側測定長は20mm以上です。<br>●CE規格品です。<br>●測定データ出力機能付です。<br>●容器保護等級（IP67）のクーラントプルーフタイプです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ミツトヨ　インサイドデジマチックノギス【NTD14P15PMX (573-646)】(3255000) 受注単位1：クローバー資材館,『カード対応OK！』■〒ミツトヨ　インサイドデジマチックノギス【NTD14P15PMX (573-646)】(3255000) 受注単位1,生産加工用品\測定工具\ノギス。『カード対応OK！』■〒ミツトヨ　インサイドデジマチックノギス【NTD14P15PMX (573-646)】(3255000) 受注単位1[rn]
9-12395,,27853.6000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒アイリスチトセ/アイリスチトセ 事務用家具【CFKTT7575G-W】(7902280) リフレッシュテーブル フーク 十字脚 750×750 ホワイト 発注単位1,オフィス住設用品\オフィス家具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●お洒落なスクエアータイプのテーブルです。<br>
●荷物を掛けれられるフックが天板下についてます。<br>
●天板の裏にも抗菌メラミンを使用し衛生面に配慮してます。<br>
●社員食堂、リフレッシュルーム用のテーブルです。<br>
●天板色:ホワイト<br>
●間口(mm):750<br>
●奥行(mm):750<br>
●高さ(mm):700<br>
●均等荷重(kg):50<br>
●組立式<br>
●フック付<br>
●十字脚<br>
●天板:メラミン化粧板<br>
●木口:ＡＢＳ<br>
●脚:スチール<br>
●組立にはプラスドライバー、１３ｍｍスパナが必要です。<br>
●組立時間2人10分<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",&Dagger;&Dagger;&Dagger;■〒アイリスチトセ/アイリスチトセ 事務用家具【CFKTT7575G-W】(7902280) リフレッシュテーブル フーク 十字脚 750&times;750 ホワイト 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒アイリスチトセ/アイリスチトセ 事務用家具【CFKTT7575G-W】(7902280) リフレッシュテーブル フーク 十字脚 750&times;750 ホワイト 発注単位1,オフィス住設用品\オフィス家具。&Dagger;&Dagger;&Dagger;■〒アイリスチトセ/アイリスチトセ 事務用家具【CFKTT7575G-W】(7902280) リフレッシュテーブル フーク 十字脚 750&times;750 ホワイト 発注単位1[rn]
9-12396,,22112.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒サンワサプライ/ＳＡＮＷＡ ＯＡ機器【RAC-EC14】(8183910) ＳＡＮＷＡ パソコンラック 発注単位1,オフィス住設用品\オフィス家具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●間口(mm):650<br>
●奥行(mm):600<br>
●高さ(mm):1450<br>
●耐荷重（kg/台）:<br>
●組立式<br>
●天板：木（パーティクルボード+メラミン化粧板）<br>
●フレーム：スチール（エポキシ樹脂粉体塗装）<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒サンワサプライ/ＳＡＮＷＡ ＯＡ機器【RAC-EC14】(8183910) ＳＡＮＷＡ パソコンラック 発注単位1：クローバー資材館,■〒サンワサプライ/ＳＡＮＷＡ ＯＡ機器【RAC-EC14】(8183910) ＳＡＮＷＡ パソコンラック 発注単位1,オフィス住設用品\オフィス家具。■〒サンワサプライ/ＳＡＮＷＡ ＯＡ機器【RAC-EC14】(8183910) ＳＡＮＷＡ パソコンラック 発注単位1[rn]
9-12397,,13824.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アマノ【HEQ911100】(4961625) フロアパッド１５　白 受注単位5,オフィス住設用品\清掃機器\床洗浄機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●どのメーカーの床洗浄機・ポリッシャーにもご使用いただけます。<br><br>●樹脂ワックス表面洗浄用。（樹脂ワックス表面の軽い汚れの洗浄）<br><br>●寸法(インチ)：15<br>●相当する番手：#500<br>●質量(g)：170<br><br><br>●主成分：ポリエステル繊維、合成樹脂系接着剤<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒アマノ【HEQ911100】(4961625) フロアパッド１５　白 受注単位5：クローバー資材館,『カード対応OK！』■〒アマノ【HEQ911100】(4961625) フロアパッド１５　白 受注単位5,オフィス住設用品\清掃機器\床洗浄機。『カード対応OK！』■〒アマノ【HEQ911100】(4961625) フロアパッド１５　白 受注単位5[rn]
9-12398,,531846.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒スーパー工業【SAR-1315VN-60HZ】(4953908) モーター式高圧洗浄機ＳＡＲ－１３１５ＶＮ－６０ＨＺ（温水タイプ） 受注単位1,オフィス住設用品\清掃機器\高圧洗浄機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ヒートコイル方式なので水温上昇が早く安定して使用可能です。<br>●軽量&コンパクト設計。大型車輪を採用し、移動も容易です。<br>●自吸式に対応し、現場を選ばず使用可能です。<br>●ガンのON/OFFでモーターが自動発停する自動運転機能搭載です。<br>●ヒートコイル方式なので水温上昇が早く安定して使用可能です。<br>●軽量&コンパクト設計。大型車輪を採用し、移動も容易です。<br>●自吸式に対応し、現場を選ばず使用可能です。<br>●ガンのON/OFFでモーターが自動発停する自動運転機能搭載です。<br><br>●調理場・厨房内の床洗浄<br>●厨房機器・設備の洗浄<br>●食品加工場（床・容器洗浄・除菌等）<br><br>●幅(mm)：746<br>●奥行(mm)：810<br>●高さ(mm)：690<br>●吐出水量(L/min)(50Hz/60Hz)：-/13<br>●吐出圧力(MPa)(50Hz/60Hz)：-/15<br>●吐出水量(L/min)：13<br>●電源：200V<br>●吐出圧力(MPa)：15<br>●出力(kW/min-1)：4/1750<br>●電流(A)：16.7<br>●回転数(min-1)：1750<br>●電圧(V)：200(動力回路)/200(操作回路)<br><br>●電源：三相200V<br>●電源コード長さ：5m<br>●給水方式：水道直結タイプ（自吸式も対応可）<br>●温水温度(℃)：30～80<br>●電源：三相200V<br>●電源コード長さ：5m<br>●給水方式：水道直結タイプ（自吸式も対応可）<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』##■〒スーパー工業【SAR-1315VN-60HZ】(4953908) モーター式高圧洗浄機ＳＡＲ&minus;１３１５ＶＮ&minus;６０ＨＺ（温水タイプ） 受注単位1：クローバー資材館,『カード対応OK！』##■〒スーパー工業【SAR-1315VN-60HZ】(4953908) モーター式高圧洗浄機ＳＡＲ&minus;１３１５ＶＮ&minus;６０ＨＺ（温水タイプ） 受注単位1,オフィス住設用品\清掃機器\高圧洗浄機。『カード対応OK！』##■〒スーパー工業【SAR-1315VN-60HZ】(4953908) モーター式高圧洗浄機ＳＡＲ&minus;１３１５ＶＮ&minus;６０ＨＺ（温水タイプ） 受注単位1[rn]
9-12399,,421200.0000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒ケルヒャージャパン/ケルヒャー 洗浄機【BD 43/25 C BP】(8246613) ケルヒャー 業務用手押し式床洗浄機 発注単位1,オフィス住設用品\清掃機器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●高い洗浄能力で作業効率がアップします。<br>
●作業のイラストにダイヤルを合わせるだけで簡単に作業ができます。<br>
●１７インチモデルに５００Ｗの強力吸引モーターを搭載。スクイジーは床面に最適な接地角度の調整でき、汚水の吸い残しがありません。<br>
●洗浄作業で操作する部分を黄色にしているため、操作に迷うことがありません。<br>
●ブラシやスクイジーは工具を使わずに着脱や交換が可能です。汚水タンクは取り外しができ、排水やタンクが簡単に行えます。<br>
●エントランスやスーパー、公共施設の床清掃に。<br>
●清掃能力([[平米]]/h):1720<br>
●清掃幅(mm):430<br>
●タンク容量(L):25<br>
●幅(mm):505<br>
●奥行(mm):1136<br>
●高さ(mm):1030<br>
●作業幅(mm)吸引:850<br>
●タンク容量　洗浄水/汚水:25L/25L<br>
●電源:バッテリーDC24V<br>
●充電時間:10～12時間<br>
●吸引幅（mm）：505<br>
●ブラシ回転数（rpm）：180<br>
●動力：バッテリー（24V 90Ah/5h）<br>
●連続使用時間:約120分<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",###■〒ケルヒャージャパン/ケルヒャー 洗浄機【BD 43/25 C BP】(8246613) ケルヒャー 業務用手押し式床洗浄機 発注単位1：クローバー資材館,###■〒ケルヒャージャパン/ケルヒャー 洗浄機【BD 43/25 C BP】(8246613) ケルヒャー 業務用手押し式床洗浄機 発注単位1,オフィス住設用品\清掃機器。###■〒ケルヒャージャパン/ケルヒャー 洗浄機【BD 43/25 C BP】(8246613) ケルヒャー 業務用手押し式床洗浄機 発注単位1[rn]
9-12400,,9072.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ケルヒャージャパン/ケルヒャー 掃除機【57316350】(7940882) ケルヒャー 平面フィルター ＫＭ 75／40 発注単位1,オフィス住設用品\清掃機器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●モーターを保護するフィルターです。<br>
●ポリエステル製のフィルターですので、水洗いが可能です。<br>
●高圧洗浄機で洗浄が可能です。<br>
●モーターへのゴミの進入を防止するために使用されます。<br>
●フィルターはポリエステル製で水洗い可能です。<br>
●適合機種:KM 75/40 W G<br>
●品名:平面フィルター　ＫＭ　７５／４０<br>
●幅(mm):340<br>
●奥行(mm):340<br>
●高さ(mm):100<br>
●スイーパーKM75-40W G/Bp　用アクセサリー<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒ケルヒャージャパン/ケルヒャー 掃除機【57316350】(7940882) ケルヒャー 平面フィルター ＫＭ 75／40 発注単位1：クローバー資材館,■〒ケルヒャージャパン/ケルヒャー 掃除機【57316350】(7940882) ケルヒャー 平面フィルター ＫＭ 75／40 発注単位1,オフィス住設用品\清掃機器。■〒ケルヒャージャパン/ケルヒャー 掃除機【57316350】(7940882) ケルヒャー 平面フィルター ＫＭ 75／40 発注単位1[rn]
9-12401,,18144.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アマノ【HAL700800】(4961471) フロアパッド１７　赤 受注単位5,オフィス住設用品\清掃機器\床洗浄機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●どのメーカーの床洗浄機・ポリッシャーにもご使用いただけます。<br><br>●樹脂ワックス表面洗浄用。（樹脂ワックス表面の軽い汚れの洗浄および艶出し）<br><br>●寸法(インチ)：17<br>●相当する番手：#320<br>●質量(g)：170<br><br><br>●主成分：ポリエステル繊維、天然鉱物粒子、合成樹脂系接着剤<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒アマノ【HAL700800】(4961471) フロアパッド１７　赤 受注単位5：クローバー資材館,『カード対応OK！』■〒アマノ【HAL700800】(4961471) フロアパッド１７　赤 受注単位5,オフィス住設用品\清掃機器\床洗浄機。『カード対応OK！』■〒アマノ【HAL700800】(4961471) フロアパッド１７　赤 受注単位5[rn]
