13-6101,,1011.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1,環境安全用品\安全用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●様々なコーナーを保護します。<br>
●夜間でも反射し目立ちます。<br>
●長辺に２本の裏面粘着テープ付です。<br>
●危険個所に応じて貼る枚数を調整できます。<br>
●工場・倉庫・現場・駐車場などの危険表示、保護、緩衝材に。<br>
●車のすり傷防止に。<br>
●色:緑／白<br>
●幅(mm):300<br>
●長さ(m):0.7<br>
●厚み(mm):６<br>
●取付方法:貼付タイプ（粘着テープ付）<br>
●発泡ポリエチレンＥＰＥのクッション材が入っています。<br>
●反射材付きで夜間も安心です。<br>
●ＰＶＣ<br>
●発泡ポリエチレンＥＰＥ（内部クッション材）",■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1：クローバー資材館,■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1,環境安全用品\安全用品。■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1[rn]
13-6184,,1248.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヘンケルジャパンＡＧ事業部/ロックタイト【366930】(7561121) タイプＡＲ　アクリルスプレー　３４０ｇ 受注単位1,環境安全用品\化学製品\スパッタ付着防止剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●透明なアクリル樹脂を主成分とし、塩素系およびフロン系溶剤は含みません。<br>●5分で表面乾燥し、耐環境性があります。<br>●透明なアクリル樹脂を主成分とし、塩素系およびフロン系溶剤は含みません。<br>●5分で表面感想し、耐環境性<br><br>●電子部品の防湿、防じん、絶縁。<br>●石膏などの保護に。<br>●電子部品の防湿、防塵、絶縁<br>●石膏等の保護<br><br>●色：透明<br>●容量（ml）：400<br><br>●使用温度範囲：-40～125℃<br>●粘度：100cps<br>●色：無職透明　<br>●粘度：100cps　<br>●使用温度：-40～125℃<br><br>●アクリル樹脂<br>",『カード対応OK！』■〒ヘンケルジャパンＡＧ事業部/ロックタイト【366930】(7561121) タイプＡＲ　アクリルスプレー　３４０ｇ 受注単位1：クローバー資材館,『カード対応OK！』■〒ヘンケルジャパンＡＧ事業部/ロックタイト【366930】(7561121) タイプＡＲ　アクリルスプレー　３４０ｇ 受注単位1,環境安全用品\化学製品\スパッタ付着防止剤。『カード対応OK！』■〒ヘンケルジャパンＡＧ事業部/ロックタイト【366930】(7561121) タイプＡＲ　アクリルスプレー　３４０ｇ 受注単位1[rn]
13-6185,,4504.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 化学製品ＴＥ【TSCPE-A-9090】(8195374) ＴＲＵＳＣＯ シリカクリン 90ｃｍＸ90ｃｍ 1枚入 湿度センサー付き 発注単位1,環境安全用品\化学製品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●超薄型で即効性の高い吸湿・消臭シートです。<br>
●多孔質のシリカゲルを表面積を広げる特許製法で短時間で消臭と吸湿を同時に行います。<br>
●３ｍｍ～１０ｍｍの超薄型で場所をとらずに、どこでも使用できます。<br>
●再生サインで吸湿度合が目に見えます。<br>
●繰り返し使用出来るECO素材です。<br>
●アンモニア・酢酸の悪臭やVOC等のニオイも除去できます。<br>
●湿度が気になる場所での湿度調整として。<br>
●ニオイが気になる場所で消臭シートとして。<br>
●輸送時の湿度管理に。<br>
●ロッカーなどの密閉空間の消臭用<br>
●制御盤などの精密機械の湿度管理に。<br>
●ヘルメット・安全靴の汗・ニオイ除去に。<br>
●幅(mm):900<br>
●厚み(mm):約5<br>
●長さ(mm):900<br>
●最大理論吸湿量(ml):約３８９<br>
●マグネット必要数（目安）:１枚につき６個<br>
●色:ブルー<br>
●主成分:シリカゲル、ポリプロピレン(PP)、ポリエチレン(PE)<br>
●シリカゲルは、地殻のケイ素で安全・安心な物質です。",■〒トラスコ中山/ＴＲＵＳＣＯ 化学製品ＴＥ【TSCPE-A-9090】(8195374) ＴＲＵＳＣＯ シリカクリン 90ｃｍＸ90ｃｍ 1枚入 湿度センサー付き 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 化学製品ＴＥ【TSCPE-A-9090】(8195374) ＴＲＵＳＣＯ シリカクリン 90ｃｍＸ90ｃｍ 1枚入 湿度センサー付き 発注単位1,環境安全用品\化学製品。■〒トラスコ中山/ＴＲＵＳＣＯ 化学製品ＴＥ【TSCPE-A-9090】(8195374) ＴＲＵＳＣＯ シリカクリン 90ｃｍＸ90ｃｍ 1枚入 湿度センサー付き 発注単位1[rn]
13-6186,,68428.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒菱江化学/菱江化学 化学製品【DIANA_ND-10G】(8187923) 菱江化学 ダイアナＮＤ 10ｇ 発注単位1,環境安全用品\化学製品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●防錆成分を気化して、流通・保管中の製品を錆から守ります。<br>
●劇物指定対象外の商品です。<br>
●様々な鉄鋼製品の流通・保存に。<br>
●錆による品質クレームの軽減に。<br>
●幅(mm):125<br>
●長さ(mm):80<br>
●タイプ:不織布入(10g小袋×４００個)/缶<br>
●主成分:ジシクロヘキシルアミン亜硝酸塩、有機カルボン酸塩<br>
●燃焼性がありますので、火気に注意して下さい。<br>
●保管は直射日光、湿気は避け、冷暗所に保管して下さい。",■〒菱江化学/菱江化学 化学製品【DIANA_ND-10G】(8187923) 菱江化学 ダイアナＮＤ 10ｇ 発注単位1：クローバー資材館,■〒菱江化学/菱江化学 化学製品【DIANA_ND-10G】(8187923) 菱江化学 ダイアナＮＤ 10ｇ 発注単位1,環境安全用品\化学製品。■〒菱江化学/菱江化学 化学製品【DIANA_ND-10G】(8187923) 菱江化学 ダイアナＮＤ 10ｇ 発注単位1[rn]
13-6187,,11907.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒ヘンケルジャパンＡＧ事業部/ＢＯＮＤＥＲＩＴＥ【P3-ALMECOM-78】(4712633) 金属樹脂用強力洗浄剤アルメエコム 受注単位1,環境安全用品\化学製品\洗浄剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●水溶性アルカリタイプで強力な洗浄力を有します。<br>●アルミ・アルミ合金などの非鉄金属部品や樹脂洗浄にも対応しています。<br>●PRTR、医劇非該当の環境対応型です。<br><br>●加工油・固形物の洗浄・除去に。<br><br>●色：淡黄色透明<br>●容量(kg)：18<br>●質量(kg)：18<br><br>●比重：1.10（原液：25℃）、pH：12<br>●最適濃度：3～5%<br><br>●主成分：界面活性剤、金属腐食抑制剤、有機系一次防錆剤<br>",『カード対応OK！』##■〒ヘンケルジャパンＡＧ事業部/ＢＯＮＤＥＲＩＴＥ【P3-ALMECOM-78】(4712633) 金属樹脂用強力洗浄剤アルメエコム 受注単位1：クローバー資材館,『カード対応OK！』##■〒ヘンケルジャパンＡＧ事業部/ＢＯＮＤＥＲＩＴＥ【P3-ALMECOM-78】(4712633) 金属樹脂用強力洗浄剤アルメエコム 受注単位1,環境安全用品\化学製品\洗浄剤。『カード対応OK！』##■〒ヘンケルジャパンＡＧ事業部/ＢＯＮＤＥＲＩＴＥ【P3-ALMECOM-78】(4712633) 金属樹脂用強力洗浄剤アルメエコム 受注単位1[rn]
13-6188,,897.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒住鉱潤滑剤/住鉱 化学製品【515136】(8184804) 住鉱 スミモールドＰＶ 420ＭＬ 発注単位1,環境安全用品\化学製品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●植物系基剤を高濃度に配合した樹脂成形用離型剤です。<br>
●２次加工する成形品の離形に。<br>
●ペインタブル用に。<br>
●色:淡黄色透明<br>
●容量(ml):420<br>
●使用温度範囲:80℃以下<br>
●主成分：植物油脂、石油系溶剤",■〒住鉱潤滑剤/住鉱 化学製品【515136】(8184804) 住鉱 スミモールドＰＶ 420ＭＬ 発注単位1：クローバー資材館,■〒住鉱潤滑剤/住鉱 化学製品【515136】(8184804) 住鉱 スミモールドＰＶ 420ＭＬ 発注単位1,環境安全用品\化学製品。■〒住鉱潤滑剤/住鉱 化学製品【515136】(8184804) 住鉱 スミモールドＰＶ 420ＭＬ 発注単位1[rn]
13-6189,,115344.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＮＯＫクリューバー/クリューバー 化学製品【BARRIERTA L 55/2 H1 750G】(8184783) ＮＯＫフッ素グリース ＢＡＲＲＩＥＲＴＡ Ｌ55／2Ｈ1 発注単位1,環境安全用品\化学製品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐熱・耐薬品性に優れています。<br>
●ほとんどのゴム、プラスチックに対して影響を及ぼしません。<br>
●各種機械・装置の軸受、シール、パッキン、その他摺動部。<br>
●高温環境のコンベア、フィルムテンター、包装機械、事務機器、自動車など。<br>
●薬品・溶剤・燃料と接触する遠心分離器、化学プラントなど。<br>
●食品・飲料機械・装置、家電製品、住宅設備など。<br>
●色:白色<br>
●容量(g):750<br>
●容量(ml):385<br>
●ちょう度:NO.2<br>
●使用温度範囲(℃):-30～260<br>
●NSF H1認定取得<br>
●使用温度範囲:-30～260℃<br>
●ちょう度:NO.2<br>
●主成分:フッ素油<br>
●ＰＴＦＥ",■〒ＮＯＫクリューバー/クリューバー 化学製品【BARRIERTA L 55/2 H1 750G】(8184783) ＮＯＫフッ素グリース ＢＡＲＲＩＥＲＴＡ Ｌ55／2Ｈ1 発注単位1：クローバー資材館,■〒ＮＯＫクリューバー/クリューバー 化学製品【BARRIERTA L 55/2 H1 750G】(8184783) ＮＯＫフッ素グリース ＢＡＲＲＩＥＲＴＡ Ｌ55／2Ｈ1 発注単位1,環境安全用品\化学製品。■〒ＮＯＫクリューバー/クリューバー 化学製品【BARRIERTA L 55/2 H1 750G】(8184783) ＮＯＫフッ素グリース ＢＡＲＲＩＥＲＴＡ Ｌ55／2Ｈ1 発注単位1[rn]
13-6190,,21168.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒旭エンジニアリング/旭 化学製品【RED-I 396】(7782411) 旭 万能極圧グリース ＲＥＤ－Ｉジャバラ 396ｇ 発注単位10,環境安全用品\化学製品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●摩擦、摩耗、腐食、酸化を著しく減少させ、ベアリングの寿命を延ばします。また、耐水性にも優れています。<br>
●適切な効果で機器の点検修理期間を延長させ、突発的な故障による生産中止を防止します。<br>
●鉱山、製鉄、成型金型、製紙、船舶、建機、印刷など。<br>
●ちょう度:No.2<br>
●色:赤色<br>
●容量(g):396<br>
●使用温度範囲:-40℃～ 204℃<br>
●容器:缶<br>
●主成分:水素処理重パラフィン系石油留分　NLGI NO.2",■〒旭エンジニアリング/旭 化学製品【RED-I 396】(7782411) 旭 万能極圧グリース ＲＥＤ&minus;Ｉジャバラ 396ｇ 発注単位10：クローバー資材館,■〒旭エンジニアリング/旭 化学製品【RED-I 396】(7782411) 旭 万能極圧グリース ＲＥＤ&minus;Ｉジャバラ 396ｇ 発注単位10,環境安全用品\化学製品。■〒旭エンジニアリング/旭 化学製品【RED-I 396】(7782411) 旭 万能極圧グリース ＲＥＤ&minus;Ｉジャバラ 396ｇ 発注単位10[rn]
13-6191,,1345.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒住鉱潤滑剤/住鉱 化学製品【504036】(8184802) 住鉱 スミカバーブラック 420ＭＬ 発注単位1,環境安全用品\化学製品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●黒色系プラスチック表面の補修、艶出しに最適です。<br>
●梨地、シボ面のウエルドライン、艶等の修正、補修。<br>
●色:黒<br>
●容量(ml):420<br>
●使用温度範囲(℃):40℃以下<br>
●使用温度範囲:40℃以下<br>
●主成分：カーボンブラック、石油系溶剤",■〒住鉱潤滑剤/住鉱 化学製品【504036】(8184802) 住鉱 スミカバーブラック 420ＭＬ 発注単位1：クローバー資材館,■〒住鉱潤滑剤/住鉱 化学製品【504036】(8184802) 住鉱 スミカバーブラック 420ＭＬ 発注単位1,環境安全用品\化学製品。■〒住鉱潤滑剤/住鉱 化学製品【504036】(8184802) 住鉱 スミカバーブラック 420ＭＬ 発注単位1[rn]
13-6192,,5354.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZB-2127】(7527187) ゼラスト防錆エアセル袋　幅２１０Ｘ長さ２７０ｍｍ　１００枚入 受注単位1,環境安全用品\化学製品\気化性防錆剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●優れた緩衝効果があり、さらにゼラスト成分をも含有する、気化性防錆緩衝材です。<br>●商品の小分け管理と防錆効果が同時に行えます。<br>●コンテナとの併用により、防錆管理をしながら部品を必要なだけ取り出していく継続使用が可能です。<br>●海外で在庫が必要となるサービスパーツ類に対しても輸出時からそのまま海外在庫時まで併用で防錆可能です。（約1年間）<br><br>●対衝撃性の低い精密部品、防振性が必要な精密機械の防錆包装。<br>●鉄、鋳鉄部品の保管、輸出時防錆。<br>●輸送およびそれを前提とした保管。<br><br>●幅(mm)：210<br>●厚み(mm)：4<br>●長さ(mm)：270<br><br>●耐熱温度：80℃<br>●未開封期限：3年<br>●気泡径：10mm<br>●開封後期限：12ヵ月<br>●使用温度範囲：-10～80℃<br><br>●ポリエチレン（PE）（ゼラスト添加物）<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZB-2127】(7527187) ゼラスト防錆エアセル袋　幅２１０Ｘ長さ２７０ｍｍ　１００枚入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZB-2127】(7527187) ゼラスト防錆エアセル袋　幅２１０Ｘ長さ２７０ｍｍ　１００枚入 受注単位1,環境安全用品\化学製品\気化性防錆剤。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZB-2127】(7527187) ゼラスト防錆エアセル袋　幅２１０Ｘ長さ２７０ｍｍ　１００枚入 受注単位1[rn]
13-6193,,176.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒エーゼット/エーゼット 化学製品【F768】(7984294) エーゼット ＡＺ袋入りリチウムグリース80ｇ 発注単位1,環境安全用品\化学製品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●温度範囲の広い量産品高速ベアリングからチェーン、ギヤ、ワイヤーロープなどの摺動部に最適です。<br>
●ちょう度:NO.2<br>
●色:黄褐色<br>
●容量(g):80<br>
●使用温度範囲(℃):-25～120<br>
●使用温度範囲:-25～120℃<br>
●主成分:リチウム石けん基グリース",■〒エーゼット/エーゼット 化学製品【F768】(7984294) エーゼット ＡＺ袋入りリチウムグリース80ｇ 発注単位1：クローバー資材館,■〒エーゼット/エーゼット 化学製品【F768】(7984294) エーゼット ＡＺ袋入りリチウムグリース80ｇ 発注単位1,環境安全用品\化学製品。■〒エーゼット/エーゼット 化学製品【F768】(7984294) エーゼット ＡＺ袋入りリチウムグリース80ｇ 発注単位1[rn]
13-6194,,101423.2000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒ＮＯＫクリューバー/クリューバー 化学製品【KLUBEROIL 4 UH1-32N】(8184773) クリューバー ＮＯＫオイル ＫＬＵＢＥＲＯＩＬ 4 ＵＨ1－32Ｎ 発注単位1,環境安全用品\化学製品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●低温から高温まで幅広い温度範囲で使用可能です。<br>
●耐荷重、耐摩耗性に優れています。<br>
●多くのシール材に対し悪影響を及ぼしません。<br>
●搬送装置のチェーンやギヤ、撹拌機の減速機（ギヤ）<br>
●各種装置の油圧作動油<br>
●シーマー、打錠機の杵や圧力ローラなどの摺動部、ギヤ、軸受<br>
●色:淡黄色<br>
●容量(L):20<br>
●使用温度範囲(℃):-35～120<br>
●動粘度（40℃・m[[平米]]/s）:32<br>
●NSF H1認定取得<br>
●主成分:合成炭化水素油",###■〒ＮＯＫクリューバー/クリューバー 化学製品【KLUBEROIL 4 UH1-32N】(8184773) クリューバー ＮＯＫオイル ＫＬＵＢＥＲＯＩＬ 4 ＵＨ1&minus;32Ｎ 発注単位1：クローバー資材館,###■〒ＮＯＫクリューバー/クリューバー 化学製品【KLUBEROIL 4 UH1-32N】(8184773) クリューバー ＮＯＫオイル ＫＬＵＢＥＲＯＩＬ 4 ＵＨ1&minus;32Ｎ 発注単位1,環境安全用品\化学製品。###■〒ＮＯＫクリューバー/クリューバー 化学製品【KLUBEROIL 4 UH1-32N】(8184773) クリューバー ＮＯＫオイル ＫＬＵＢＥＲＯＩＬ 4 ＵＨ1&minus;32Ｎ 発注単位1[rn]
13-6195,,1632.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ 資材【PCD-994-CL】(5137438) ＩＲＩＳ ポリカプラダン 910Ｘ910Ｘ4 クリア 発注単位1,環境安全用品\シート・ロープ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●樹脂の中でも強度が高く、割れにくいポリカーボネート製のプラスチックダンボールです。<br>
●衝撃に強く、断熱効果や遮音効果に優れています。<br>
●何度も繰り返し使用できます。<br>
●幅(m):0.91<br>
●長さ(m):0.91<br>
●厚み(mm):4<br>
●色:クリア<br>
●ポリカーボネート",■〒アイリスオーヤマ/ＩＲＩＳ 資材【PCD-994-CL】(5137438) ＩＲＩＳ ポリカプラダン 910Ｘ910Ｘ4 クリア 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ 資材【PCD-994-CL】(5137438) ＩＲＩＳ ポリカプラダン 910Ｘ910Ｘ4 クリア 発注単位1,環境安全用品\シート・ロープ。■〒アイリスオーヤマ/ＩＲＩＳ 資材【PCD-994-CL】(5137438) ＩＲＩＳ ポリカプラダン 910Ｘ910Ｘ4 クリア 発注単位1[rn]
13-6196,,13683.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ブルーターピーシート＃３０００　幅９．０ｍＸ長さ９．０ｍ【TP-9090  (9.0MX9.0M  #3000)】(1237101) 受注単位1,(1237101),,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ブルーターピーシート＃３０００　幅９．０ｍＸ長さ９．０ｍ【TP-9090  (9.0MX9.0M  #3000)】(1237101) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ブルーターピーシート＃３０００　幅９．０ｍＸ長さ９．０ｍ【TP-9090  (9.0MX9.0M  #3000)】(1237101) 受注単位1,(1237101)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ブルーターピーシート＃３０００　幅９．０ｍＸ長さ９．０ｍ【TP-9090  (9.0MX9.0M  #3000)】(1237101) 受注単位1[rn]
13-6197,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005082332.jpg?fitin=700:700,183.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユタカメイク/ユタカ　シート紐　シート紐　６０ｃｍ×１００本　ホワイト【A-660-2】(3674452) 受注単位1,環境安全用品\シート・ロープ\トラックシート,,『カード対応OK！』■〒ユタカメイク/ユタカ　シート紐　シート紐　６０ｃｍ&times;１００本　ホワイト【A-660-2】(3674452) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユタカメイク/ユタカ　シート紐　シート紐　６０ｃｍ&times;１００本　ホワイト【A-660-2】(3674452) 受注単位1,環境安全用品\シート・ロープ\トラックシート。『カード対応OK！』■〒ユタカメイク/ユタカ　シート紐　シート紐　６０ｃｍ&times;１００本　ホワイト【A-660-2】(3674452) 受注単位1[rn]
13-6198,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004591833.jpg?fitin=700:700,991.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ブル－シートα＃３０００　幅２．７ｍＸ長さ３．６ｍ【BSA-2736  2#3000(2.7X3.6)】(2321858) 受注単位1,(2321858),,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ブル&minus;シートα＃３０００　幅２．７ｍＸ長さ３．６ｍ【BSA-2736  2#3000(2.7X3.6)】(2321858) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ブル&minus;シートα＃３０００　幅２．７ｍＸ長さ３．６ｍ【BSA-2736  2#3000(2.7X3.6)】(2321858) 受注単位1,(2321858)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ブル&minus;シートα＃３０００　幅２．７ｍＸ長さ３．６ｍ【BSA-2736  2#3000(2.7X3.6)】(2321858) 受注単位1[rn]
13-6199,,18900.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒エムエフ/ＭＦ 梱包資材【YS022】(7854129) ＭＦ エンビシート(グリーン)ピラマット 発注単位1,環境安全用品\シート・ロープ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●自重があるので風でめくり上がりにくく、しっかりとなじみます。<br>
●加重に耐える頑強性と衝撃に耐える緩衝性・柔軟性を兼ね備えています。<br>
●防水性が高く、住宅廻り、玄関、ベランダ建築現場、選挙・災害時の体育館の床などにも利用できます。<br>
●住宅廻り・玄関・ベランダなどの屋外の養生に。<br>
●選挙投票所の床養生に。<br>
●プラズマディスプレイ工場の床の保護に。<br>
●幅(m):1<br>
●長さ(m):20<br>
●厚み(mm):1.80<br>
●色:緑<br>
●取付方法:自重タイプ<br>
●色:緑<br>
●塩化ビニール",■〒エムエフ/ＭＦ 梱包資材【YS022】(7854129) ＭＦ エンビシート(グリーン)ピラマット 発注単位1：クローバー資材館,■〒エムエフ/ＭＦ 梱包資材【YS022】(7854129) ＭＦ エンビシート(グリーン)ピラマット 発注単位1,環境安全用品\シート・ロープ。■〒エムエフ/ＭＦ 梱包資材【YS022】(7854129) ＭＦ エンビシート(グリーン)ピラマット 発注単位1[rn]
13-6200,,3583.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒住化プラステック/住化【WN09200-GY】(7609787) スミパネル　ＷＮ０９２００　０．９１×１．８２Ｍグレー 受注単位1,環境安全用品\シート・ロープ\養生シート,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品は規格外の商品の為、送料が別途発生致します。配送地域によって送料が異なりますので詳しくはお問い合わせください。</b></font><br><br>※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●耐水、耐薬品性に優れています。<br>●防塵性、易印刷、接着性、耐候性に有効な処理を施しています。<br>●中空構造体で木材などと比べ軽量かつ丈夫で耐衝撃性に優れています。<br><br>●中重量物のコンテナ用や補強板。<br><br>●幅(m)：0.91<br>●長さ(m)：1.82<br>●色：グレー<br>●質量(kg)：3.31<br><br>●厚み：9.0mm<br><br>●ポリプロピレン（PP）<br>",『カード対応OK！』###■〒住化プラステック/住化【WN09200-GY】(7609787) スミパネル　ＷＮ０９２００　０．９１&times;１．８２Ｍグレー 受注単位1：クローバー資材館,『カード対応OK！』###■〒住化プラステック/住化【WN09200-GY】(7609787) スミパネル　ＷＮ０９２００　０．９１&times;１．８２Ｍグレー 受注単位1,環境安全用品\シート・ロープ\養生シート。『カード対応OK！』###■〒住化プラステック/住化【WN09200-GY】(7609787) スミパネル　ＷＮ０９２００　０．９１&times;１．８２Ｍグレー 受注単位1[rn]
