13-7101,,69097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００×１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●繊維製のベルトモッコなので建築、土木での荷役作業が安全に行えます。<br>●繊維製なので、癖もつかず、収納も楽に行えます。<br>●最大使用荷重(t):1<br>●吊手長さ(mm):2000<br>●幅(mm):1800<br>●長さ(mm):1800<br>●網目(mm):150<br>●質量(kg):5.5<br>●ベルト幅:50mm<br>●ポリエステル100％<br>",『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1：クローバー資材館,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ。『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1[rn]
13-7187,,1977.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【SS2555S】(4942949) Σストップ２５　５．５ｍ尺相当目盛付 受注単位1,工事用品\測量用品\コンベックス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●しっかり止まるオートストップ・ボタンで強ロックのWロック機構搭載です。<br>●通常テープより測定距離が伸びる剛性力1.5倍の剛厚テープを採用しています。<br><br>●長さ測定用<br><br>●テープ長さ(m)：5.5<br>●テープ幅(mm)：25<br>●水平保持(m)：2.6<br><br>●目盛仕様：尺相当目盛<br>●テープ：剛厚ホワイトテープ<br>●仕様：ヨンゴーゴーピッチ表示付<br>●取り付け可能ベルトサイズ：幅60mm以内、厚み5.5mm以内<br>●爪仕様：爪飛び防止用プロテクター付<br>●0点補正移動爪<br><br>●テープ・バネ：SK85(旧SK5)<br>●ケース：ABS樹脂<br>",『カード対応OK！』■〒ＴＪＭデザイン/タジマ【SS2555S】(4942949) Σストップ２５　５．５ｍ尺相当目盛付 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ【SS2555S】(4942949) Σストップ２５　５．５ｍ尺相当目盛付 受注単位1,工事用品\測量用品\コンベックス。『カード対応OK！』■〒ＴＪＭデザイン/タジマ【SS2555S】(4942949) Σストップ２５　５．５ｍ尺相当目盛付 受注単位1[rn]
13-7188,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004694048.jpg?fitin=700:700,4042.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　デジタルアングルセンサーＦ【DAS-F51】(4051033) 受注単位1,工事用品\測量用品\勾配計,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●どんな角度でも基準面（0.0°）に設定可能です。<br>●ネオジムマグネット付です。<br>●確認・記録に便利なホールド機能です。",『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　デジタルアングルセンサーＦ【DAS-F51】(4051033) 受注単位1：クローバー資材館,『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　デジタルアングルセンサーＦ【DAS-F51】(4051033) 受注単位1,工事用品\測量用品\勾配計。『カード対応OK！』■〒ムラテックＫＤＳ/ＫＤＳ　デジタルアングルセンサーＦ【DAS-F51】(4051033) 受注単位1[rn]
13-7189,,657.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒土牛産業/ＤＯＧＹＵ ハンマー【02227】(7854307) ＤＯＧＹＵ ペン・マーカー用コード 発注単位1,工事用品\測量用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ペン・マーカーなどの落下防止コードです。<br>
●取り付けは特殊なシールを巻いて貼り、クリップ式のコードで落下防止に使用できます。<br>
●縮長～全長(mm):270～1400<br>
●コード部：ウレタン",■〒土牛産業/ＤＯＧＹＵ ハンマー【02227】(7854307) ＤＯＧＹＵ ペン・マーカー用コード 発注単位1：クローバー資材館,■〒土牛産業/ＤＯＧＹＵ ハンマー【02227】(7854307) ＤＯＧＹＵ ペン・マーカー用コード 発注単位1,工事用品\測量用品。■〒土牛産業/ＤＯＧＹＵ ハンマー【02227】(7854307) ＤＯＧＹＵ ペン・マーカー用コード 発注単位1[rn]
13-7190,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833463.jpg?fitin=700:700,17808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺田ポンプ製作所/寺田　水中汚水ポンプ　５０Ｈｚ【SX-150  50HZ】(2273446) 受注単位1,工事用品\ポンプ\水中ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●異物通過径は28mmです。<br>●メカニカルシールを油封入した構造により、モートル内部への汚水の浸入を完全に防止します。<br>●電動機保護装置を内蔵しています。",『カード対応OK！』■〒寺田ポンプ製作所/寺田　水中汚水ポンプ　５０Ｈｚ【SX-150  50HZ】(2273446) 受注単位1：クローバー資材館,『カード対応OK！』■〒寺田ポンプ製作所/寺田　水中汚水ポンプ　５０Ｈｚ【SX-150  50HZ】(2273446) 受注単位1,工事用品\ポンプ\水中ポンプ。『カード対応OK！』■〒寺田ポンプ製作所/寺田　水中汚水ポンプ　５０Ｈｚ【SX-150  50HZ】(2273446) 受注単位1[rn]
13-7191,,58752.0000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒東浜商事/東浜 エアーツール【TM-80E】(8198960) 東浜 ダイアフラムブロアー 発注単位1,工事用品\ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●省エネ型・長寿命・低騒音・コンパクトです。<br>
●無給油で使用できます。<br>
●アースが不要です。<br>
●浄化槽のばっ気に。<br>
●活魚水槽のエアポンプとして。<br>
●周波数(Hz):50/60<br>
●口径(mm):18<br>
●電源(V):単相100<br>
●吐出空気量(L/min):80<br>
●間口×奥行×高さ(mm）:161×182×175<br>
●定格圧力（MPa）:0.015<br>
●消費電力(W):49<br>
●電源コード長さ：1.5m",###■〒東浜商事/東浜 エアーツール【TM-80E】(8198960) 東浜 ダイアフラムブロアー 発注単位1：クローバー資材館,###■〒東浜商事/東浜 エアーツール【TM-80E】(8198960) 東浜 ダイアフラムブロアー 発注単位1,工事用品\ポンプ。###■〒東浜商事/東浜 エアーツール【TM-80E】(8198960) 東浜 ダイアフラムブロアー 発注単位1[rn]
13-7192,,243.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒工進/工進 パーツ【PA-056】(7974027) 工進 ＳＵＳ製ホースバンド40～63mm 発注単位1,工事用品\ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ＳＵＳ製ホースバンド<br>
●ホースの締め付けに<br>
●適合機種:SEV-25Lなど<br>
●品名:ＳＵＳ製ホースバンド４０～６３ミリ<br>
●平バンド仕様<br>
●ステンレス",■〒工進/工進 パーツ【PA-056】(7974027) 工進 ＳＵＳ製ホースバンド40～63mm 発注単位1：クローバー資材館,■〒工進/工進 パーツ【PA-056】(7974027) 工進 ＳＵＳ製ホースバンド40～63mm 発注単位1,工事用品\ポンプ。■〒工進/工進 パーツ【PA-056】(7974027) 工進 ＳＵＳ製ホースバンド40～63mm 発注単位1[rn]
13-7193,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002940823.jpg?fitin=700:700,70547.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺田ポンプ製作所/寺田　セルプラエンジンポンプ【ER-50EX】(3557014) 受注単位1,工事用品\ポンプ\エンジンポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●静かな4サイクルエンジンを搭載しています。<br>●コンパクト設計です。",『カード対応OK！』■〒寺田ポンプ製作所/寺田　セルプラエンジンポンプ【ER-50EX】(3557014) 受注単位1：クローバー資材館,『カード対応OK！』■〒寺田ポンプ製作所/寺田　セルプラエンジンポンプ【ER-50EX】(3557014) 受注単位1,工事用品\ポンプ\エンジンポンプ。『カード対応OK！』■〒寺田ポンプ製作所/寺田　セルプラエンジンポンプ【ER-50EX】(3557014) 受注単位1[rn]
13-7194,,891.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒工進/工進 パーツ【PA-072】(7974051) 工進 鉄製異径ソケット50×40 発注単位1,工事用品\ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●鉄製異径ソケット<br>
●ポンプの口径落としに<br>
●適合機種:SEV-50Xなど<br>
●品名:鉄製異径ソケット５０×４０<br>
●両端メスネジ仕様<br>
●鉄",■〒工進/工進 パーツ【PA-072】(7974051) 工進 鉄製異径ソケット50&times;40 発注単位1：クローバー資材館,■〒工進/工進 パーツ【PA-072】(7974051) 工進 鉄製異径ソケット50&times;40 発注単位1,工事用品\ポンプ。■〒工進/工進 パーツ【PA-072】(7974051) 工進 鉄製異径ソケット50&times;40 発注単位1[rn]
13-7195,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005436178.jpg?fitin=700:700,2638.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エドワーズ/エドワーズ　ブランクフランジ　ＮＷ４０【C10516366】(4195167) 受注単位1,工事用品\ポンプ\真空ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒エドワーズ/エドワーズ　ブランクフランジ　ＮＷ４０【C10516366】(4195167) 受注単位1：クローバー資材館,『カード対応OK！』■〒エドワーズ/エドワーズ　ブランクフランジ　ＮＷ４０【C10516366】(4195167) 受注単位1,工事用品\ポンプ\真空ポンプ。『カード対応OK！』■〒エドワーズ/エドワーズ　ブランクフランジ　ＮＷ４０【C10516366】(4195167) 受注単位1[rn]
13-7196,,574964.8000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒アンレット/アンレット ポンプ【CT4-65LE-IE3】(8199207) アンレット ルーツ式ドライ真空ポンプ 発注単位1,工事用品\ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●完全ドライのため、吐出側に水分が出ません。<br>
●高い到達圧力が得られ、広い圧力範囲で安定した性能を発揮します。<br>
●三葉ルーツ式で、動バランスも完全なため、低騒音・低振動です。<br>
●オイルミストが製品内に混入したり、排出することがありません。<br>
●水系・炭化水素系洗浄機の真空乾燥用。<br>
●食品真空パック用。<br>
●吸着、脱水、脱気用。<br>
●樹脂成型、押出機用。<br>
●排気速度(L/min)50/60Hz:1000<br>
●到達圧力(Pa):20<br>
●吸気口径(mm):25<br>
●電源(V):三相200・2P<br>
●寸法(mm):520×513×583<br>
●騒音値(dB):74<br>
●サーマルプロテクタなし<br>
●全閉外扇屋内型モーターIE3<br>
●水冷式<br>
●冷却水量([[リットル]]/min):2",&Dagger;&Dagger;&Dagger;■〒アンレット/アンレット ポンプ【CT4-65LE-IE3】(8199207) アンレット ルーツ式ドライ真空ポンプ 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒アンレット/アンレット ポンプ【CT4-65LE-IE3】(8199207) アンレット ルーツ式ドライ真空ポンプ 発注単位1,工事用品\ポンプ。&Dagger;&Dagger;&Dagger;■〒アンレット/アンレット ポンプ【CT4-65LE-IE3】(8199207) アンレット ルーツ式ドライ真空ポンプ 発注単位1[rn]
13-7197,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002864089.jpg?fitin=700:700,49740.8000,,花・ガーデン・DIY > DIY・工具 > その他,↑#『カード対応OK！』■〒新明和工業/新明和　高機能樹脂ポンプ【CRS501D-F50-0.75】(2832046) 受注単位1,工事用品\ポンプ\水中ポンプ,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●トルネードフィン採用によりメカニカルシールの長寿命化を実現しました。<br>●断熱運転に耐えるACベアリングを採用します。<br>●シームレス・ステータケーシングにより耐食性が大幅に向上します。",&uarr;#『カード対応OK！』■〒新明和工業/新明和　高機能樹脂ポンプ【CRS501D-F50-0.75】(2832046) 受注単位1：クローバー資材館,&uarr;#『カード対応OK！』■〒新明和工業/新明和　高機能樹脂ポンプ【CRS501D-F50-0.75】(2832046) 受注単位1,工事用品\ポンプ\水中ポンプ。&uarr;#『カード対応OK！』■〒新明和工業/新明和　高機能樹脂ポンプ【CRS501D-F50-0.75】(2832046) 受注単位1[rn]
13-7198,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003807565.jpg?fitin=700:700,3264.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アルバック機工/ＵＬＶＡＣ　ノズル【ZSCK-2512】(3652181) 受注単位1,工事用品\ポンプ\真空ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒アルバック機工/ＵＬＶＡＣ　ノズル【ZSCK-2512】(3652181) 受注単位1：クローバー資材館,『カード対応OK！』■〒アルバック機工/ＵＬＶＡＣ　ノズル【ZSCK-2512】(3652181) 受注単位1,工事用品\ポンプ\真空ポンプ。『カード対応OK！』■〒アルバック機工/ＵＬＶＡＣ　ノズル【ZSCK-2512】(3652181) 受注単位1[rn]
13-7199,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005131896.jpg?fitin=700:700,27012.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒工進/工進　ハイデルスポンプ　三菱エンジン搭載【KM-25S】(4051173) 受注単位1,工事用品\ポンプ\エンジンポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●三菱エンジンを搭載しています。<br>●リコイルスタータが軽いタイプです。<br>●リコイルスターターが軽いタイプです。",『カード対応OK！』■〒工進/工進　ハイデルスポンプ　三菱エンジン搭載【KM-25S】(4051173) 受注単位1：クローバー資材館,『カード対応OK！』■〒工進/工進　ハイデルスポンプ　三菱エンジン搭載【KM-25S】(4051173) 受注単位1,工事用品\ポンプ\エンジンポンプ。『カード対応OK！』■〒工進/工進　ハイデルスポンプ　三菱エンジン搭載【KM-25S】(4051173) 受注単位1[rn]
13-7200,,1688.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒工進/工進 パーツ【PA-121】(7974191) 工進 吐出ホース32mm×10ｍ 発注単位1,工事用品\ポンプ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●適合機種:PSK-63210など<br>
●品名:吐出ホース32mm×10ｍ<br>
●適合機種:PSK-63210等",■〒工進/工進 パーツ【PA-121】(7974191) 工進 吐出ホース32mm&times;10ｍ 発注単位1：クローバー資材館,■〒工進/工進 パーツ【PA-121】(7974191) 工進 吐出ホース32mm&times;10ｍ 発注単位1,工事用品\ポンプ。■〒工進/工進 パーツ【PA-121】(7974191) 工進 吐出ホース32mm&times;10ｍ 発注単位1[rn]
