11-73201,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066038428.jpg?fitin=700:700,5818.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,,"長さの測定、直角の確認やケガキ作業に使用する曲尺。
木材・石材・金属などの曲尺では困難だった大きな物の
測定やケガキ作業が出来ます。  

■精度
・直角度：100mmにつき0.1mm以下　　
・長さの許容差：＋-0.5mm以下  

■表目盛
・長枝：外目盛1m
・短枝：外目盛60cm  

■裏目盛
・長枝：外目盛3尺3寸
・短枝：外目盛2尺  

■形状：同厚 

■材質：ステンレス  

■サイズ：(約）1030×630×2.5mm 

■重量：（約）1102g 

【注意事項】
電気に触れる恐れのある場所では使用しないでください。",シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094[rn]
11-73254,,4771.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TDN-150】(4890752)デジタルノギス １５０ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハイスピードモデル液晶を採用しました。<br>●デジタル表示で見やすいです。<br>●ホールド機能付です。<br>●全数検査表付き。<br>●外側測定、内側測定、段差測定、深さ測定。<br>●メーカーコード:-<br>●測定範囲(mm):0～150<br>●器差(mm):±0.03<br>●最小表示(mm):0.01<br>●外側用ジョウ(mm):40<br>●内側用ジョウ(mm):16.5<br>●デプスバー:有<br>●最小表示:0.01mm<br>●電源:ボタン型酸化銀電池（SR44）×1個（別売）<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TDN-150】(4890752)デジタルノギス １５０ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TDN-150】(4890752)デジタルノギス １５０ｍｍ 受注単位1,生産加工用品\測定工具\ノギス。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TDN-150】(4890752)デジタルノギス １５０ｍｍ 受注単位1[rn]
11-73255,,13931.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-75PX】(4708253)防水ラジマックマイクロメ－タ－ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラスチック部品すべてに耐油性素材を採用しています。<br>●ABS（アブソリュート）機能、ホールド機能、ゼロセット機能付です。<br>●CE規格品です。<br>●水回りでの測定など。<br>●メーカーコード:293-242-30<br>●測定範囲(mm):50～75<br>●器差(μm):±1<br>●最小表示(mm):0.001<br>●質量(g):470<br>●容器保護等級:IP65<br>●定圧装置:ラチェットストップ<br>●測定面形状:標準タイプ<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）測定データ出力端子なし<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-75PX】(4708253)防水ラジマックマイクロメ&minus;タ&minus; 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-75PX】(4708253)防水ラジマックマイクロメ&minus;タ&minus; 受注単位1,生産加工用品\測定工具\マイクロメーター。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-75PX】(4708253)防水ラジマックマイクロメ&minus;タ&minus; 受注単位1[rn]
11-73256,,10695.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-25MX】(4708181)ラジタル外側マイクロメーター 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラスチック部品すべてに耐油性素材を採用しています。<br>●ABS（アブソリュート）機能、ホールド機能、ゼロセット機能付です。<br>●CE規格品です。<br>●水回りでの測定など。<br>●メーカーコード:293-230-30<br>●測定範囲(mm):0～25<br>●器差(μm):±1<br>●最小表示(mm):0.001<br>●質量(g):270<br>●容器保護等級:IP65<br>●定圧装置:ラチェットストップ<br>●測定面形状:標準タイプ<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）<br>●測定データ出力端子あり<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-25MX】(4708181)ラジタル外側マイクロメーター 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-25MX】(4708181)ラジタル外側マイクロメーター 受注単位1,生産加工用品\測定工具\マイクロメーター。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-25MX】(4708181)ラジタル外側マイクロメーター 受注単位1[rn]
11-73257,,11987.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-50PX】(4708237)防水ラジマックマイクロメーター 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラスチック部品すべてに耐油性素材を採用しています。<br>●ABS（アブソリュート）機能、ホールド機能、ゼロセット機能付です。<br>●CE規格品です。<br>●水回りでの測定など。<br>●メーカーコード:293-241-30<br>●測定範囲(mm):25～50<br>●器差(μm):±1<br>●最小表示(mm):0.001<br>●質量(g):330<br>●容器保護等級:IP65<br>●定圧装置:ラチェットストップ<br>●測定面形状:標準タイプ<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）測定データ出力端子なし<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-50PX】(4708237)防水ラジマックマイクロメーター 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-50PX】(4708237)防水ラジマックマイクロメーター 受注単位1,生産加工用品\測定工具\マイクロメーター。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-50PX】(4708237)防水ラジマックマイクロメーター 受注単位1[rn]
11-73258,,12247.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEBY-150】(4719174)ベベル型ストレートエッヂ Ａ級焼入 １５０ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●鋼製で研磨仕上げを施しています。<br>●平面度・真直度、平行度の検査測定用です。<br>●平面度・真直度、平行度の検査測定用。<br>●幅(mm):24<br>●厚み(mm):3<br>●長さ(mm):150<br>●精度(μm):11.5<br>●質量(kg):0.06<br>●焼入品<br>●研磨仕上げ<br>●特殊工具鋼<br>",『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEBY-150】(4719174)ベベル型ストレートエッヂ Ａ級焼入 １５０ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEBY-150】(4719174)ベベル型ストレートエッヂ Ａ級焼入 １５０ｍｍ 受注単位1,生産加工用品\測定工具\スコヤ・水準器。『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEBY-150】(4719174)ベベル型ストレートエッヂ Ａ級焼入 １５０ｍｍ 受注単位1[rn]
11-73259,,49669.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEIBY-600】(4719352)アイビーム型ストレートエッヂ Ａ級焼入 ６００ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平面度、真直度の測定、ひずみチェックに使用します。<br>●研磨仕上げを施しています。<br>●平面度・真直度、平行度の検査測定用です。<br>●平面度・真直度、平行度の検査測定用。<br>●幅(mm):50<br>●厚み(mm):10<br>●長さ(mm):600<br>●精度(μm):8<br>●質量(kg):2<br>●焼入品<br>●研磨仕上げ<br>●特殊工具鋼<br>",『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEIBY-600】(4719352)アイビーム型ストレートエッヂ Ａ級焼入 ６００ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEIBY-600】(4719352)アイビーム型ストレートエッヂ Ａ級焼入 ６００ｍｍ 受注単位1,生産加工用品\測定工具\スコヤ・水準器。『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEIBY-600】(4719352)アイビーム型ストレートエッヂ Ａ級焼入 ６００ｍｍ 受注単位1[rn]
11-73260,,17690.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEBY-300】(4719191)ベベル型ストレートエッヂ Ａ級焼入 ３００ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●鋼製で研磨仕上げを施しています。<br>●平面度・真直度、平行度の検査測定用です。<br>●平面度・真直度、平行度の検査測定用。<br>●幅(mm):35<br>●厚み(mm):5<br>●長さ(mm):300<br>●精度(μm):13.0<br>●質量(kg):0.44<br>●焼入品<br>●研磨仕上げ<br>●特殊工具鋼<br>",『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEBY-300】(4719191)ベベル型ストレートエッヂ Ａ級焼入 ３００ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEBY-300】(4719191)ベベル型ストレートエッヂ Ａ級焼入 ３００ｍｍ 受注単位1,生産加工用品\測定工具\スコヤ・水準器。『カード対応OK！』■〒（株）ユニセイキ/ユニ【SEBY-300】(4719191)ベベル型ストレートエッヂ Ａ級焼入 ３００ｍｍ 受注単位1[rn]
11-73261,,14255.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-75MX】(4708245)デジタル外側マイクロメーター 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラスチック部品すべてに耐油性素材を採用しています。<br>●ABS（アブソリュート）機能、ホールド機能、ゼロセット機能付です。<br>●CE規格品です。<br>●水回りでの測定など。<br>●メーカーコード:293-232-30<br>●測定範囲(mm):50～75<br>●器差(μm):±1<br>●最小表示(mm):0.001<br>●質量(g):470<br>●容器保護等級:IP65<br>●定圧装置:ラチェットストップ<br>●測定面形状:標準タイプ<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）<br>●測定データ出力端子あり<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-75MX】(4708245)デジタル外側マイクロメーター 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-75MX】(4708245)デジタル外側マイクロメーター 受注単位1,生産加工用品\測定工具\マイクロメーター。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-75MX】(4708245)デジタル外側マイクロメーター 受注単位1[rn]
11-73262,,16199.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-100PX】(4708172)防水ラジマックマイクロメ－タ－ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラスチック部品すべてに耐油性素材を採用しています。<br>●ABS（アブソリュート）機能、ホールド機能、ゼロセット機能付です。<br>●CE規格品です。<br>●水回りでの測定など。<br>●メーカーコード:293-243-30<br>●測定範囲(mm):50～75<br>●器差(μm):±2<br>●最小表示(mm):0.001<br>●質量(g):625<br>●容器保護等級:IP65<br>●定圧装置:ラチェットストップ<br>●測定面形状:標準タイプ<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）測定データ出力端子なし<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-100PX】(4708172)防水ラジマックマイクロメ&minus;タ&minus; 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-100PX】(4708172)防水ラジマックマイクロメ&minus;タ&minus; 受注単位1,生産加工用品\測定工具\マイクロメーター。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-100PX】(4708172)防水ラジマックマイクロメ&minus;タ&minus; 受注単位1[rn]
11-73263,,16558.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-100MX】(4708164)デジタル外側マイクロメーター 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラスチック部品すべてに耐油性素材を採用しています。<br>●ABS（アブソリュート）機能、ホールド機能、ゼロセット機能付です。<br>●CE規格品です。<br>●水回りでの測定など。<br>●メーカーコード:293-233-30<br>●測定範囲(mm):75～100<br>●器差(μm):±2<br>●最小表示(mm):0.001<br>●質量(g):625<br>●容器保護等級:IP65<br>●定圧装置:ラチェットストップ<br>●測定面形状:標準タイプ<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）<br>●測定データ出力端子あり<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-100MX】(4708164)デジタル外側マイクロメーター 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-100MX】(4708164)デジタル外側マイクロメーター 受注単位1,生産加工用品\測定工具\マイクロメーター。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-100MX】(4708164)デジタル外側マイクロメーター 受注単位1[rn]
11-73264,,12505.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-50MXT】(4708229)デジタル外側マイクロメーター 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●プラスチック部品すべてに耐油性素材を採用しています。<br>●ABS（アブソリュート）機能、ホールド機能、ゼロセット機能付です。<br>●CE規格品です。<br>●水回りでの測定など。<br>●メーカーコード:293-235-30<br>●測定範囲(mm):25～50<br>●器差(μm):±1<br>●最小表示(mm):0.001<br>●質量(g):340<br>●容器保護等級:IP65<br>●定圧装置:ラチェットシンブル<br>●測定面形状:標準タイプ<br>●電源:ボタン型酸化銀電池（SR44）×1個（付属）<br>●測定データ出力端子あり<br>",『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-50MXT】(4708229)デジタル外側マイクロメーター 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-50MXT】(4708229)デジタル外側マイクロメーター 受注単位1,生産加工用品\測定工具\マイクロメーター。『カード対応OK！』■〒（株）ミツトヨ/ミツトヨ 【MDC-50MXT】(4708229)デジタル外側マイクロメーター 受注単位1[rn]
11-73265,,31257.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ベッセル/ベッセル 【F-120R】(4856830)静電気除去ファン Ｆ－１２０Ｒ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●長期安定した除電ができる独自の容量結合針を採用しています。<br>●高周波圧電トランスでイオンを豊富に生成し、高速で除電できます。<br>●フロントカバーの風向角度の変更が可能です。除電範囲を直進・広角の二種類に切り換え可能です。<br>●稼動状況が目視できる運転確認ランプは、正常運転時は緑色に点灯し、高圧異常やファン異常時には赤色に点灯します。<br>●フロントカバーはワンタッチで開閉できます。<br>●内部に簡単にアクセスできメンテナンスが容易です。<br>●（直進ルーバー）基板製造の自動ライン 液晶フィルムのカット装置への組み込み。<br>●製袋機取り付けや成形機のコンベア上からの除電に。<br>●（広角ルーバー）はんだ付けやフィルムの貼り付け作業。<br>●電子デバイスの部品ストックのエリア除電などに。<br>●電源(V):AC100V～240V（50/60Hz）<br>●入力電源(V):DC24±5%<br>●出力電圧(kV):10kV（p-p）<br>●消費電力(W):17<br>●最大風量([[立米]]/min):3.66<br>●幅(mm):162<br>●奥行(mm):70(スタンド含む)<br>●高さ(mm):198<br>●イオンバランス:±10V以下(工場出荷時)<br>●オゾン発生量:0.05ppm以下(距離50mm)<br>●保護機能:ファンモータ回転監視機能(拘束検出)、高電圧出力シャットダウン機能(過負荷検出)、フロントカバー安全装置(開放時回路遮断)<br>●使用距離:150～900mm<br>●設置場所:屋内の非危険場所<br>●除電時間:1.5秒以下(風量最大、風向直進、測定距離300mm)(測定値)<br>●除電方式:高周波交流コロナ放電式<br>●使用温度・湿度：5～40℃　35～65%ＲＨ（ただし結露氷結のないこと）<br>●可変ルーバー機能<br>●本体:難燃性ABS樹脂<br>●スタンド:ステンレス<br>●フロントカバー:難燃性ABS樹脂<br>●放電針:インコネル<br>●電源アダプタAD-24IT<br>●AC入力ケーブル1.8m<br>●保存温度・湿度：0～60℃　35～85%ＲＨ（ただし結露氷結のないこと）<br>",『カード対応OK！』■〒（株）ベッセル/ベッセル 【F-120R】(4856830)静電気除去ファン Ｆ&minus;１２０Ｒ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ベッセル/ベッセル 【F-120R】(4856830)静電気除去ファン Ｆ&minus;１２０Ｒ 受注単位1,生産加工用品\はんだ・静電気対策用品\除電機。『カード対応OK！』■〒（株）ベッセル/ベッセル 【F-120R】(4856830)静電気除去ファン Ｆ&minus;１２０Ｒ 受注単位1[rn]
11-73266,,43588.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』##■〒日本レイシステムズ（株）/レイシステムズ【G02-AE10-100】(4801237)ガス検知器 トキシレイプロ Ｏ２ 酸素 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●高性能シングルガスセンサーです。<br>●厚い手袋をしていても操作ミスが少ない、シンプルな３ボタンインターフェイスを採用しています。<br>●労働安全/労働衛生工学での多彩なセンサーラインナップ。<br>●データログ機能を標準装備したフル機能のシングルガス検知器です。<br>●対象ガス:酸素<br>●測定範囲:0～30%<br>●分解能:0.1%<br>●質量(g):220<br>●電源:リチウムイオン充電池<br>●幅×奥行×高さ:60×30×118mm<br>●リチウムイオン充電池 稼働時間:30時間以上 充電時間:4時間以下<br>●金属<br>●樹脂<br>●対象ガス以外を検知する場合は、お問い合わせください。<br>",『カード対応OK！』##■〒日本レイシステムズ（株）/レイシステムズ【G02-AE10-100】(4801237)ガス検知器 トキシレイプロ Ｏ２ 酸素 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##■〒日本レイシステムズ（株）/レイシステムズ【G02-AE10-100】(4801237)ガス検知器 トキシレイプロ Ｏ２ 酸素 受注単位1,生産加工用品\計測機器\ガス測定器・検知器。『カード対応OK！』##■〒日本レイシステムズ（株）/レイシステムズ【G02-AE10-100】(4801237)ガス検知器 トキシレイプロ Ｏ２ 酸素 受注単位1[rn]
11-73267,,131817.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』##■〒理研計器（株）/理研【GX2012C/H】(4856571)ポータブルガスモニター 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●ポンプ内蔵の吸引式です。<br>●本質安全・耐圧防爆構造Exia[[(R2)]]CT4Xです。<br>●屋外使用に安心の容器保護等級IP67相当です。<br>●警報ブザーの音圧は95dB以上です。<br>●小型軽量約360gです。<br>●8mサンプリングホース（浮子式）接続可能です（別売）。<br>●下水処理場、清掃工場、マンホール作業の安全確認。<br>●対象ガス:酸素（[[酸素]]）、可燃性ガス（LEL）、硫化水素（[[硫化水素]]）<br>●質量(g):360<br>●電源:単3アルカリ乾電池×3本（付属）<br>●幅×奥行×高さ:71×43×173mm<br>●可燃性ガスはメタンまたはイソブタンを指定<br>●検知対象ガス酸素([[酸素]]):○<br>●検知対象ガス可燃性ガス(LEL):○<br>●検知対象ガス硫化水素(H2S):○<br>●防爆性能要件を満たす為、防爆構造電気機械器具型式検定合格証に記載の乾電池をご使用ください。<br>",『カード対応OK！』##■〒理研計器（株）/理研【GX2012C/H】(4856571)ポータブルガスモニター 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##■〒理研計器（株）/理研【GX2012C/H】(4856571)ポータブルガスモニター 受注単位1,生産加工用品\計測機器\ガス測定器・検知器。『カード対応OK！』##■〒理研計器（株）/理研【GX2012C/H】(4856571)ポータブルガスモニター 受注単位1[rn]
11-73268,,43588.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』##■〒日本レイシステムズ（株）/レイシステムズ【G02-A210-100】(4801229)ガス検知器 トキシレイプロ ＣＯ 一酸化炭素 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●高性能シングルガスセンサーです。<br>●厚い手袋をしていても操作ミスが少ない、シンプルな２ボタンインターフェイスを採用しています。<br>●労働安全/労働衛生工学での多彩なセンサーラインナップ。<br>●データログ機能を標準装備したフル機能のシングルガス検知器です。<br>●対象ガス:一酸化炭素<br>●測定範囲:0～500ppm<br>●分解能:1.0ppm<br>●質量(g):220<br>●電源:リチウムイオン充電池<br>●幅×奥行×高さ:60×30×118mm<br>●リチウムイオン充電池 稼働時間:30時間以上 充電時間:4時間以下<br>●金属<br>●樹脂<br>●対象ガス以外を検知する場合は、お問い合わせください。<br>",『カード対応OK！』##■〒日本レイシステムズ（株）/レイシステムズ【G02-A210-100】(4801229)ガス検知器 トキシレイプロ ＣＯ 一酸化炭素 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##■〒日本レイシステムズ（株）/レイシステムズ【G02-A210-100】(4801229)ガス検知器 トキシレイプロ ＣＯ 一酸化炭素 受注単位1,生産加工用品\計測機器\ガス測定器・検知器。『カード対応OK！』##■〒日本レイシステムズ（株）/レイシステムズ【G02-A210-100】(4801229)ガス検知器 トキシレイプロ ＣＯ 一酸化炭素 受注単位1[rn]
11-73269,,19871.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）グッドマン/グッドマン【101830】(4808517)１０１８３０軽量コンパクト呼び線３０ｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●狭い配管内も容易に通線できるΦ３ｍｍの多芯ファイバーロッドです。<br>●曲率半径5cmで急コーナーも使用可能な軽量コンパクト呼び線です。<br>●使い易い多芯ファイバー製で部品の修理・交換可能で経済的です。<br>●古い電線が敷設された狭い電線管内に威力を発揮<br>●巻長(m):30<br>●摘要：-<br>●質量(ｋｇ):1.0<br>●幅×奥行×高さ：255×75×310mm<br>●ABS<br>",『カード対応OK！』■〒（株）グッドマン/グッドマン【101830】(4808517)１０１８３０軽量コンパクト呼び線３０ｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）グッドマン/グッドマン【101830】(4808517)１０１８３０軽量コンパクト呼び線３０ｍ 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒（株）グッドマン/グッドマン【101830】(4808517)１０１８３０軽量コンパクト呼び線３０ｍ 受注単位1[rn]
