11-28101,,864.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2×45 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●精密性に優れた特殊表面加工により、ビスの食いつきが抜群です。<br>
●ねばり強く、耐摩耗性・耐衝撃性に優れています。<br>
●充電・電動ドライバー用ビットとして。<br>
●刃先:[[(+)]]2<br>
●全長(mm):45<br>
●入数(本):10<br>
●シャンク径:6.35mm<br>
●刃先:マグネット入り<br>
●特殊鋼",■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1,作業用品\ドライバービット。■〒新亀製作所/サンフラッグ 電動工具【ASV-2045M-2-45】(7768079) サンフラッグ ブロンズ両頭ビット10本組 ＃2&times;45 発注単位1[rn]
11-28184,,26526.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【38033】(4950925) ヘビーデューティベンダー　６０４ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●２段階式により、ハンドルを交差させずに90～180°曲げることができます。<br>●長めのハンドルによりテコ比が向上しベンディングフォームのロールダイスにより、曲げる時に力が要りません。<br><br>●チタン、鋼、ステンレス管の曲げ加工に。<br><br>●タイプ：インチ用<br>●適用管径：1/4<br>●曲げ半径R(mm)：14.3<br>●寸法(mm)左手：-<br>●寸法(mm)右手：-<br>●質量(kg)：0.76<br><br>●曲げ角度：90～180°<br>●全長：340mm<br><br>",『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【38033】(4950925) ヘビーデューティベンダー　６０４ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【38033】(4950925) ヘビーデューティベンダー　６０４ 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【38033】(4950925) ヘビーデューティベンダー　６０４ 受注単位1[rn]
11-28185,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002803442.jpg?fitin=700:700,8710.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダー　１２ｍｍ　ステンレス用【GFB-S12M (ｽﾃﾝﾚｽﾖｳ)】(1256378) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●軟質銅管・鉄管・ステンレス管の薄肉のチューブをスムーズに180°まで曲げ加工ができます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダー　１２ｍｍ　ステンレス用【GFB-S12M (ｽﾃﾝﾚｽﾖｳ)】(1256378) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダー　１２ｍｍ　ステンレス用【GFB-S12M (ｽﾃﾝﾚｽﾖｳ)】(1256378) 受注単位1,(1256378)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チューブベンダー　１２ｍｍ　ステンレス用【GFB-S12M (ｽﾃﾝﾚｽﾖｳ)】(1256378) 受注単位1[rn]
11-28186,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820706.jpg?fitin=700:700,22776.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：１６）【TB3910M (ｽﾀﾝﾀﾞｰﾄﾞｶﾞﾀ)】(1780841) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハンドル部はパイプ製です。",『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：１６）【TB3910M (ｽﾀﾝﾀﾞｰﾄﾞｶﾞﾀ)】(1780841) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：１６）【TB3910M (ｽﾀﾝﾀﾞｰﾄﾞｶﾞﾀ)】(1780841) 受注単位1,作業用品\水道・空調配管用工具\チューブベンダー。『カード対応OK！』■〒スーパーツール/スーパー　チューブベンダー（適合チューブ外径：１６）【TB3910M (ｽﾀﾝﾀﾞｰﾄﾞｶﾞﾀ)】(1780841) 受注単位1[rn]
11-28187,,740.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2M-615】(7574631) ３／８ドライブ　ショートソケット　６角　１５ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●面接触でボルト・ナットをしっかり捉えます。<br>●電動、エアインパクトレンチ用です。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：15<br>●差込角(mm)：9.5<br>●全長(mm)：28<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2M-615】(7574631) ３／８ドライブ　ショートソケット　６角　１５ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2M-615】(7574631) ３／８ドライブ　ショートソケット　６角　１５ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW2M-615】(7574631) ３／８ドライブ　ショートソケット　６角　１５ｍｍ　インパクト 受注単位1[rn]
11-28188,,777.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＴＪＭデザイン/タジマ 工具類【TSK-SD13L-6K】(7969015) タジマ ＳＤソケットロング 13mm 6角 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●6角ロングタイプです。<br>
●吊ボルトなどボルトが長く出る場合のナットの締め付けに最適です。<br>
●摩耗に強いツインコートです。<br>
●18Vインパクトドライバーに対応しています。<br>
●奥まで届くロングタイプです。<br>
●吊ボルトなどボルトが長く出る場合のナットの締め付けに最適です。<br>
●インパクトドライバー用ソケット<br>
●対辺寸法(mm):13<br>
●軸寸法(mm):6.35<br>
●全長(mm):138<br>
●深さ(mm):95<br>
●タイプ:6角<br>
●18Vインパクト対応<br>
●目盛仕様:尺相当目盛<br>
●テープ幅:22mm<br>
●テープ長さ:5.5ｍ<br>
●ヨンゴーゴーピッチ表示付<br>
●ストラップ付<br>
●ベルトクリップ付<br>
●爪飛び防止用プロテクター付<br>
●ステンレスバネ<br>
●本体:クロムバナジウム鋼(Cr-V)<br>
●本製品には通電性があります。<br>
●感電に注意してください。",■〒ＴＪＭデザイン/タジマ 工具類【TSK-SD13L-6K】(7969015) タジマ ＳＤソケットロング 13mm 6角 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒ＴＪＭデザイン/タジマ 工具類【TSK-SD13L-6K】(7969015) タジマ ＳＤソケットロング 13mm 6角 発注単位1,作業用品\ソケットレンチ。■〒ＴＪＭデザイン/タジマ 工具類【TSK-SD13L-6K】(7969015) タジマ ＳＤソケットロング 13mm 6角 発注単位1[rn]
11-28189,,761.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36516】(7576536) ３／８ドライブ　ショートソケット　６角　１６ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●面接触でボルト・ナットをしっかり捉えます。<br>●電動、エアインパクトレンチ用です。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：16<br>●差込角(mm)：9.5<br>●全長(mm)：27<br>●質量(g)：52<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36516】(7576536) ３／８ドライブ　ショートソケット　６角　１６ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36516】(7576536) ３／８ドライブ　ショートソケット　６角　１６ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36516】(7576536) ３／８ドライブ　ショートソケット　６角　１６ｍｍ　インパクト 受注単位1[rn]
11-28190,,1156.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW35409】(7576137) ３／８ドライブ　ディープソケット　１２角　９ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：9<br>●差込角(mm)：9.5<br>●全長(mm)：64<br>●質量(g)：74<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW35409】(7576137) ３／８ドライブ　ディープソケット　１２角　９ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW35409】(7576137) ３／８ドライブ　ディープソケット　１２角　９ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW35409】(7576137) ３／８ドライブ　ディープソケット　１２角　９ｍｍ　インパクト 受注単位1[rn]
11-28191,,14532.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36906】(7576803) ３／８ドライブ　ショートソケットセット　インパクト　６角　１０ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●面接触でボルト・ナットをしっかり捉えます。<br>●電動、エアインパクトレンチ用です。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●差込角(mm)：9.5<br>●質量(g)：590<br>●セット内容(点)：10<br>●セット内容：JHW36510、36511、36512、36513、36514、36515、36516、36517、36518、36519<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36906】(7576803) ３／８ドライブ　ショートソケットセット　インパクト　６角　１０ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36906】(7576803) ３／８ドライブ　ショートソケットセット　インパクト　６角　１０ 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36906】(7576803) ３／８ドライブ　ショートソケットセット　インパクト　６角　１０ 受注単位1[rn]
11-28192,,90322.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW7M-650】(7578121) １ドライブ　ショートソケット　６角　５０ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●電動、エアインパクトレンチ用です。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：50<br>●差込角(mm)：25.4<br>●全長(mm)：76<br>●質量(g)：1179<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW7M-650】(7578121) １ドライブ　ショートソケット　６角　５０ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW7M-650】(7578121) １ドライブ　ショートソケット　６角　５０ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW7M-650】(7578121) １ドライブ　ショートソケット　６角　５０ｍｍ　インパクト 受注単位1[rn]
11-28193,,1414.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW4M-620】(7577346) １／２ドライブ　ショートソケット　６角　２０ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●電動、エアインパクトレンチ用です。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：20<br>●差込角(mm)：12.7<br>●全長(mm)：38<br>●質量(g)：127<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW4M-620】(7577346) １／２ドライブ　ショートソケット　６角　２０ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW4M-620】(7577346) １／２ドライブ　ショートソケット　６角　２０ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW4M-620】(7577346) １／２ドライブ　ショートソケット　６角　２０ｍｍ　インパクト 受注単位1[rn]
11-28194,,1176.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW12M-608】(7573995) ３／８ドライブ　ディープソケット　６角　８ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：8<br>●差込角(mm)：9.5<br>●全長(mm)：54<br>●質量(g)：45<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW12M-608】(7573995) ３／８ドライブ　ディープソケット　６角　８ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW12M-608】(7573995) ３／８ドライブ　ディープソケット　６角　８ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW12M-608】(7573995) ３／８ドライブ　ディープソケット　６角　８ｍｍ　インパクト 受注単位1[rn]
11-28195,,1360.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-615】(7574215) １／２ドライブ　ディープソケット　６角　１５ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：15<br>●差込角(mm)：12.7<br>●全長(mm)：83<br>●質量(g)：171<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-615】(7574215) １／２ドライブ　ディープソケット　６角　１５ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-615】(7574215) １／２ドライブ　ディープソケット　６角　１５ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-615】(7574215) １／２ドライブ　ディープソケット　６角　１５ｍｍ　インパクト 受注単位1[rn]
11-28196,,2360.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-624】(7574304) １／２ドライブ　ディープソケット　６角　２４ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：24<br>●差込角(mm)：12.7<br>●全長(mm)：89<br>●質量(g)：402<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-624】(7574304) １／２ドライブ　ディープソケット　６角　２４ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-624】(7574304) １／２ドライブ　ディープソケット　６角　２４ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-624】(7574304) １／２ドライブ　ディープソケット　６角　２４ｍｍ　インパクト 受注単位1[rn]
11-28197,,1925.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-621】(7574274) １／２ドライブ　ディープソケット　６角　２１ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：21<br>●差込角(mm)：12.7<br>●全長(mm)：83<br>●質量(g)：327<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-621】(7574274) １／２ドライブ　ディープソケット　６角　２１ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-621】(7574274) １／２ドライブ　ディープソケット　６角　２１ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW14M-621】(7574274) １／２ドライブ　ディープソケット　６角　２１ｍｍ　インパクト 受注単位1[rn]
11-28198,,1754.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW4M-623】(7577371) １／２ドライブ　ショートソケット　６角　２３ｍｍ　インパクト 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●電動、エアインパクトレンチ用です。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：23<br>●差込角(mm)：12.7<br>●全長(mm)：45<br>●質量(g)：180<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW4M-623】(7577371) １／２ドライブ　ショートソケット　６角　２３ｍｍ　インパクト 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW4M-623】(7577371) １／２ドライブ　ショートソケット　６角　２３ｍｍ　インパクト 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW4M-623】(7577371) １／２ドライブ　ショートソケット　６角　２３ｍｍ　インパクト 受注単位1[rn]
11-28199,,3830.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36818】(7576781) ３／８ドライブ　ユニバーサルソケット　６角　１８ｍｍ　インパク 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●電動、エアインパクトレンチ用です。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：18<br>●差込角(mm)：9.5<br>●全長(mm)：67<br>●質量(g)：150<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36818】(7576781) ３／８ドライブ　ユニバーサルソケット　６角　１８ｍｍ　インパク 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36818】(7576781) ３／８ドライブ　ユニバーサルソケット　６角　１８ｍｍ　インパク 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW36818】(7576781) ３／８ドライブ　ユニバーサルソケット　６角　１８ｍｍ　インパク 受注単位1[rn]
11-28200,,113197.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWMS1424RC】(7580304) １／２ドライブ　ディープソケットセット　６角　２４個　インパク 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●面接触でボルト・ナットをしっかり捉えます。<br>●電動、エアインパクトレンチ用です。<br>●インパクト使用のために特殊熱処理加工を施し強度、耐久性、安全性を高めています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●差込角(mm)：12.7<br>●質量(g)：9132<br>●セット内容(点)：24<br>●セット内容：JHW14M-610、611、612、613、614、615、616、617、618、619、620、621、622、623、624、627、629、630、632、634、635、636<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWMS1424RC】(7580304) １／２ドライブ　ディープソケットセット　６角　２４個　インパク 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWMS1424RC】(7580304) １／２ドライブ　ディープソケットセット　６角　２４個　インパク 受注単位1,作業用品\ソケットレンチ\インパクト用ソケット。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWMS1424RC】(7580304) １／２ドライブ　ディープソケットセット　６角　２４個　インパク 受注単位1[rn]
